experiment,fold,date,selection,n_valid,n_max,score_std,score_spread,spar_thresh,pi_support,pi_pr,cap_budget,deficit,cap_sum,cap_at_max,book_n,book_pr
full,f1_2018_2019,2018-01-02,sparsemax,113,155,0.03948167349450372,0.060224969541670476,0.008849557522123894,25,20.44830532678989,1.8472241163253784,0.0,1.847224129945971,13,17.0,12.154132146211042
full,f1_2018_2019,2018-02-01,sparsemax,116,155,0.040118465900375135,0.06380113341106937,0.008620689655172414,30,23.845598152039173,2.1540298461914062,0.0,2.154030108358711,10,18.0,11.318518809605536
full,f1_2018_2019,2018-03-01,sparsemax,116,155,0.03849353364459661,0.0587307154461902,0.008620689655172414,28,20.276908173775794,1.798161268234253,0.0,1.7981611785944551,10,17.0,10.92198352922918
full,f1_2018_2019,2018-04-02,sparsemax,116,155,0.033622035997104435,0.05685004961259406,0.008620689655172414,31,22.254926396778412,1.9457194805145264,0.0,1.9457196267321706,11,19.0,11.922625976485865
full,f1_2018_2019,2018-05-02,sparsemax,116,155,0.03673124628399735,0.05494472986199604,0.008620689655172414,32,23.002122772654378,2.0295324325561523,0.0,2.029532413929701,9,15.0,10.920529259164082
full,f1_2018_2019,2018-06-01,sparsemax,115,155,0.03744149720581346,0.054833006233219864,0.008695652173913044,32,18.930886898284854,1.6283714771270752,0.0,1.6283715225290507,9,14.0,10.79234965691381
full,f1_2018_2019,2018-07-02,sparsemax,116,155,0.03281180881049584,0.0552636452685592,0.008620689655172414,31,23.62895113155824,2.135019302368164,0.0,2.135019176872447,10,20.0,12.422842534269051
full,f1_2018_2019,2018-08-01,sparsemax,117,155,0.03474750851242096,0.05888191597838687,0.008547008547008548,34,25.37808213241719,2.257382869720459,0.0,2.257382867624983,11,14.0,11.175520033511324
full,f1_2018_2019,2018-09-03,sparsemax,118,155,0.038307548648533724,0.06485177836404576,0.00847457627118644,33,24.984252680618237,2.2113523483276367,0.0,2.211352438433096,11,18.0,11.690659304987499
full,f1_2018_2019,2018-10-08,sparsemax,117,155,0.04219090938017772,0.05387232539793238,0.008547008547008548,31,23.877977407486405,2.1311376094818115,0.0,2.131137805059552,11,18.0,11.626289751875866
full,f1_2018_2019,2018-11-01,sparsemax,117,155,0.04754691043207167,0.06682331504650478,0.008547008547008548,31,25.363257116884114,2.2889552116394043,0.0,2.288955349009484,13,22.0,12.153824511200709
full,f1_2018_2019,2018-12-03,sparsemax,117,155,0.036177492633390575,0.05054477281454536,0.008547008547008548,31,21.009214930089936,1.8614774942398071,0.0,1.861477442085743,10,16.0,10.677059037574063
full,f1_2018_2019,2019-01-02,sparsemax,115,155,0.03845867707285362,0.05445178835247846,0.008695652173913044,34,26.495559750382874,2.389897108078003,0.0,2.3898971346206963,12,19.0,11.735688813606336
full,f1_2018_2019,2019-02-01,sparsemax,117,155,0.03822727383484134,0.0641292860556362,0.008547008547008548,37,29.049621451279506,2.642622232437134,0.0,2.642622228479013,14,23.0,12.318478240803033
full,f1_2018_2019,2019-03-01,sparsemax,117,155,0.03126611147308164,0.045137433968006804,0.008547008547008548,32,23.912340693191187,2.0980446338653564,0.0,2.0980445235036314,9,18.0,12.215277783431102
full,f1_2018_2019,2019-04-01,sparsemax,116,155,0.03928388577123839,0.055936223959775065,0.008620689655172414,41,26.810547840477437,2.3461709022521973,0.0,2.3461707178503275,12,20.0,11.490688327217175
full,f1_2018_2019,2019-05-06,sparsemax,116,155,0.04609172360260825,0.06752767372105656,0.008620689655172414,29,22.13209482346861,1.9639317989349365,0.0,1.9639317747205496,11,14.0,11.281138861996514
full,f1_2018_2019,2019-06-03,sparsemax,117,155,0.0435867616927522,0.06390996052859685,0.008547008547008548,31,22.835542851000323,2.060154438018799,0.0,2.0601542473305017,12,15.0,12.138445278902406
full,f1_2018_2019,2019-07-01,sparsemax,115,155,0.03651369841944292,0.04986179933437834,0.008695652173913044,31,19.829724577008086,1.7818210124969482,0.0,1.7818210531404475,12,16.0,12.058957824678975
full,f1_2018_2019,2019-08-01,sparsemax,119,155,0.031897848037727924,0.05276191098999013,0.008403361344537815,36,22.931660198710368,1.9868189096450806,0.0,1.9868190018387395,11,12.0,10.43873160591145
full,f1_2018_2019,2019-09-02,sparsemax,120,155,0.03176121451013885,0.05988095042218144,0.008333333333333333,39,27.334318340410782,2.4137020111083984,0.0,2.4137021103524603,11,20.0,12.039676462255557
full,f1_2018_2019,2019-10-08,sparsemax,117,155,0.04119936697561482,0.06353701198967095,0.008547008547008548,36,22.174701266839083,1.8981413841247559,0.0,1.89814146066783,11,15.0,10.745116650144988
full,f1_2018_2019,2019-11-01,sparsemax,117,155,0.044556770761701475,0.06794862660507743,0.008547008547008548,28,20.388508881017064,1.7837315797805786,0.0,1.783731495263055,10,15.0,11.252808832921772
full,f1_2018_2019,2019-12-02,sparsemax,118,155,0.04191609990610771,0.06482774982528793,0.00847457627118644,30,21.75691698107083,1.8678408861160278,0.0,1.8678408729610965,9,13.0,10.651675986712048
