epoch,train_L_pred,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.5581315655744713,-0.05330338022309064,0.26233089260245096,0.008855771507982535,0.030904678435896643,-0.2521564012224024,0.3383724228902297,0.2826493341814388,0.01635159547864036,0.47083304686979816,112.04090428352356,1.9237964153289795
1,-0.5606312231935617,-0.12976483395323157,0.27250595333922,0.01601332782248732,-0.033561651232360885,-0.2583640400658954,0.5301663144068285,0.3428989066319032,0.021101722747764805,0.6968810802156274,87.06038403511047,1.944190502166748
2,-0.5333418595881863,-0.11044947398321717,0.29573382209730514,0.01749820846047622,0.001581454514490284,-0.2589761343869296,0.3781495988368988,0.3521905927495523,0.02423164163800803,0.5525789152492177,56.16513681411743,1.8702890872955322
3,-0.49111949481809414,-0.11004740992944886,0.3005990295009759,0.01954066546150405,0.010680821006193416,-0.2559512731703845,0.3394509350711649,0.32744616811925714,0.022589409723877907,0.5001683099703356,48.19584798812866,1.8987846374511719
4,-0.4864239415495109,-0.14138740485263918,0.26235427002187905,0.018365394206760265,-0.0404872709444461,-0.3361363031647422,0.2287324917587367,0.24847667596556924,0.017518975771963596,0.33687617003240367,46.377588748931885,1.8280975818634033
5,-0.5034961926231858,-0.09213995752955666,0.24402032658912753,0.015688204114104955,-0.004791212758717646,-0.35923274809663946,-0.11454486372795972,0.2155890932137316,0.01551178673451597,-0.027161798016591507,43.907838106155396,2.437427282333374
6,-0.48404854169925887,-0.11596183946626332,0.24592710240879131,0.015415805603469942,-0.025987335843325573,-0.42755457758903503,-0.05031447857618332,0.2205700555985624,0.014597788453102112,0.03181287798691879,49.22216844558716,1.8709638118743896
7,-0.5675601277870076,-0.08990539069365681,0.2442119854950268,0.014447480097114471,-0.010107930436844135,-0.4776187999681993,-0.10541777177290483,0.22471070018681613,0.015727350149642338,-0.02509694749658758,46.249518632888794,1.9952507019042969
8,-0.6096457711115252,-0.12064259423597054,0.24375901041367581,0.013612946239477805,-0.04611471799408434,-0.5262395739555359,0.001011246307329698,0.22768664901906793,0.015677109953354706,0.07790772481398149,42.174861669540405,1.915065050125122
9,-0.6438908568434133,-0.11201116289651974,0.2523390393960112,0.015139991929399148,-0.035090737165669905,-0.5324062027714469,-0.003128227862444791,0.22814517400481485,0.018123586662113667,0.07582732290029526,44.44679045677185,1.8796038627624512
10,-0.6180752171701147,-0.11095874719250634,0.25291231888851134,0.016319301164218487,-0.029990809272889416,-0.49805907769636676,0.12398323552175002,0.232203486290845,0.016468012620779602,0.2067470814694058,43.80193018913269,1.8220865726470947
11,-0.6124431800580662,-0.10033052365490207,0.24517265963190385,0.014876810881799755,-0.024111706813271263,-0.5134649981151928,0.052064003592187706,0.23491101508790796,0.016637380827556957,0.13481039350683038,42.67030477523804,1.8725199699401855
