experiment,fold,date,selection,n_valid,n_max,score_std,score_spread,spar_thresh,pi_support,pi_pr,cap_budget,deficit,cap_sum,cap_at_max,book_n,book_pr
full,f3_2022_2026,2022-01-04,sparsemax,113,165,0.02001065977765849,0.033265456948759015,0.008849557522123894,51,34.867866653038945,3.0830078125,0.0,3.0830076709389687,15,21.0,12.116914261927564
full,f3_2022_2026,2022-02-07,sparsemax,119,165,0.020608564884818333,0.03893959295677663,0.008403361344537815,67,41.50378038007936,3.6182055473327637,0.0,3.618205362581648,17,24.0,12.399049262008207
full,f3_2022_2026,2022-03-01,sparsemax,119,165,0.021248333405753238,0.041834765314437576,0.008403361344537815,63,46.61457973414609,4.0999956130981445,0.0,4.099995705706533,18,28.0,12.161181436130072
full,f3_2022_2026,2022-04-01,sparsemax,119,165,0.0220813806666191,0.041065347949316836,0.008403361344537815,55,38.29659721067921,3.3812224864959717,0.0,3.381222508614883,16,23.0,11.768687423692624
full,f3_2022_2026,2022-05-05,sparsemax,119,165,0.028058220130329437,0.04792688458966201,0.008403361344537815,49,36.247995274895715,3.2273898124694824,0.0,3.227389945212053,15,23.0,12.229242229206251
full,f3_2022_2026,2022-06-01,sparsemax,118,165,0.02420586424124899,0.04978807144245859,0.00847457627118644,51,35.83429343228452,3.2203004360198975,0.0,3.220300323795527,13,26.0,11.65738986280803
full,f3_2022_2026,2022-07-01,sparsemax,117,165,0.021666202546002225,0.042247691941964954,0.008547008547008548,55,40.419668985223275,3.5674684047698975,0.0,3.567468337423634,14,21.0,11.415090746018626
full,f3_2022_2026,2022-08-01,sparsemax,119,165,0.017803999698803294,0.03877925396967335,0.008403361344537815,74,47.86574544335164,4.1242194175720215,0.0,4.124219038290903,18,20.0,11.426477796619405
full,f3_2022_2026,2022-09-01,sparsemax,119,165,0.022954325013768397,0.04069149330407068,0.008403361344537815,52,38.93571262805249,3.4909887313842773,0.0,3.490988732781261,16,26.0,12.00957700164527
full,f3_2022_2026,2022-10-10,sparsemax,119,165,0.027310782671765513,0.04430361236093425,0.008403361344537815,46,36.821768016077264,3.3150558471679688,0.0,3.315055899787694,14,23.0,11.114089527467309
full,f3_2022_2026,2022-11-01,sparsemax,119,165,0.02469504795205583,0.04080051471901854,0.008403361344537815,48,37.08568423189905,3.3183085918426514,0.0,3.3183087264187634,15,24.0,11.960475577169317
full,f3_2022_2026,2022-12-01,sparsemax,119,165,0.02583699771283346,0.042940007227261656,0.008403361344537815,48,34.5674940944312,3.060516119003296,0.0,3.0605162689462304,14,20.0,11.845616400426554
full,f3_2022_2026,2023-01-03,sparsemax,118,165,0.02165127021794995,0.04410352029293081,0.00847457627118644,58,36.03163129686473,3.0976250171661377,0.0,3.0976250286912546,14,13.0,11.072790273403205
