experiment,fold,date,selection,n_valid,n_max,score_std,score_spread,spar_thresh,pi_support,pi_pr,cap_budget,deficit,cap_sum,cap_at_max,book_n,book_pr
full_nocost,f3_2022_2026,2022-01-04,sparsemax,113,165,0.01413068668468519,0.02991174928126939,0.008849557522123894,68,45.149798829809036,3.893939971923828,0.0,3.893939903762657,18,19.0,11.618274518853934
full_nocost,f3_2022_2026,2022-02-07,sparsemax,119,165,0.014203369094279746,0.02992757684316392,0.008403361344537815,68,49.28345704169175,4.313326835632324,0.0,4.31332660492285,18,18.0,12.04715322214559
full_nocost,f3_2022_2026,2022-03-01,sparsemax,119,165,0.015748936494419673,0.03605274670217343,0.008403361344537815,66,50.917649745942676,4.546710014343262,0.0,4.5467098077060655,22,27.0,12.023953209112564
full_nocost,f3_2022_2026,2022-04-01,sparsemax,119,165,0.015872325863763866,0.03232548450229361,0.008403361344537815,65,48.60392140618752,4.336594581604004,0.0,4.33659447170794,20,21.0,11.530842234485382
full_nocost,f3_2022_2026,2022-05-05,sparsemax,119,165,0.02050575700808068,0.03415482810956716,0.008403361344537815,52,36.90429110325402,3.3103151321411133,0.0,3.3103153480915353,17,18.0,11.30215026893729
full_nocost,f3_2022_2026,2022-06-01,sparsemax,118,165,0.01874041724226857,0.03324739781397758,0.00847457627118644,58,37.89381756472911,3.367459297180176,0.0,3.367459547589533,18,20.0,11.591640641277188
full_nocost,f3_2022_2026,2022-07-01,sparsemax,117,165,0.016365490946661985,0.03090582325314291,0.008547008547008548,64,43.575172607144026,3.811807155609131,0.0,3.8118070825585164,20,17.0,11.1964482687347
full_nocost,f3_2022_2026,2022-08-01,sparsemax,119,165,0.015150577331107994,0.029630648533758873,0.008403361344537815,73,53.71002624448697,4.698366641998291,0.0,4.698366035241634,17,22.0,11.22004092098667
full_nocost,f3_2022_2026,2022-09-01,sparsemax,119,165,0.018321838055155727,0.03428994214256145,0.008403361344537815,55,44.05342378313903,4.018198490142822,0.0,4.018198532285169,21,20.0,11.794289018530636
full_nocost,f3_2022_2026,2022-10-10,sparsemax,119,165,0.0187449377546798,0.03204213010006342,0.008403361344537815,54,39.69631671326324,3.5216901302337646,0.0,3.5216896422207355,18,20.0,10.847758972080902
full_nocost,f3_2022_2026,2022-11-01,sparsemax,119,165,0.016176498644293425,0.03274292133145911,0.008403361344537815,61,42.67070342778923,3.737377166748047,0.0,3.737377197481692,17,15.0,11.0433394571863
full_nocost,f3_2022_2026,2022-12-01,sparsemax,119,165,0.01883749262780733,0.03237183849295961,0.008403361344537815,56,37.93659752005422,3.290322780609131,0.0,3.2903226814232767,15,14.0,10.622897260407532
full_nocost,f3_2022_2026,2023-01-03,sparsemax,118,165,0.01700708809619899,0.03361016742971931,0.00847457627118644,67,42.66000299885551,3.678277015686035,0.0,3.678277225117199,14,16.0,10.512653611411888
full_nocost,f3_2022_2026,2023-02-01,sparsemax,119,165,0.018254023517829343,0.03533664782249815,0.008403361344537815,61,40.820573024875046,3.5458273887634277,0.0,3.5458275221753865,15,15.0,10.796998338695845
full_nocost,f3_2022_2026,2023-03-01,sparsemax,119,165,0.0209686223066348,0.0338055724297658,0.008403361344537815,46,31.064629796035916,2.724592685699463,0.0,2.7245929038181202,14,15.0,10.83151525922446
full_nocost,f3_2022_2026,2023-04-03,sparsemax,119,165,0.01987028962778442,0.039436205078949446,0.008403361344537815,61,41.677569115095,3.6776719093322754,0.0,3.6776720316847786,16,19.0,13.013651020041168
full_nocost,f3_2022_2026,2023-05-04,sparsemax,118,165,0.022912998487365954,0.03714664861109992,0.00847457627118644,57,45.081459513089,4.031323432922363,0.0,4.031323288101703,18,24.0,11.359030802678111
full_nocost,f3_2022_2026,2023-06-01,sparsemax,119,165,0.020601142471281964,0.0343571776258094,0.008403361344537815,52,37.65330213678962,3.37514591217041,0.0,3.3751459665363654,16,19.0,11.701622423741169
full_nocost,f3_2022_2026,2023-07-03,sparsemax,118,165,0.01812117830755603,0.0317241825731629,0.00847457627118644,59,40.30176715768857,3.5242128372192383,0.0,3.524212947289925,16,21.0,11.71470906878668
full_nocost,f3_2022_2026,2023-08-01,sparsemax,119,165,0.0167821112845648,0.030598422655240952,0.008403361344537815,67,47.97154088649476,4.197128772735596,0.0,4.1971292472444475,17,16.0,10.887290716037278
full_nocost,f3_2022_2026,2023-09-01,sparsemax,119,165,0.017306039469266565,0.03199391660648359,0.008403361344537815,64,44.35506643558421,3.857844591140747,0.0,3.8578446501633152,17,16.0,11.437742270238463
full_nocost,f3_2022_2026,2023-10-09,sparsemax,119,165,0.019194229384923496,0.03547764741893889,0.008403361344537815,55,39.78207434352023,3.5038065910339355,0.0,3.50380655869958,18,18.0,11.08189295387844
full_nocost,f3_2022_2026,2023-11-01,sparsemax,119,165,0.017728917239800496,0.03410207971093096,0.008403361344537815,58,44.04496810215214,3.9002904891967773,0.0,3.9002909287810326,19,23.0,12.737951983062203
full_nocost,f3_2022_2026,2023-12-01,sparsemax,119,165,0.020968311675408986,0.03392995038742841,0.008403361344537815,50,38.1327216056612,3.4320826530456543,0.0,3.4320826437033247,21,21.0,11.542480061160967
full_nocost,f3_2022_2026,2024-01-02,sparsemax,117,165,0.01696666320297439,0.03638659850654439,0.008547008547008548,59,42.44401218133395,3.8160295486450195,0.0,3.816029702575179,18,21.0,11.828232324472909
full_nocost,f3_2022_2026,2024-02-01,sparsemax,120,165,0.018206069054102693,0.03253310884853514,0.008333333333333333,68,50.247338049563325,4.461973190307617,0.0,4.461972957942635,22,21.0,12.146132805422024
full_nocost,f3_2022_2026,2024-03-01,sparsemax,119,165,0.01837932278557407,0.037236161074139365,0.008403361344537815,66,47.74155584678183,4.271743297576904,0.0,4.271744356723502,19,14.0,11.045082657393918
full_nocost,f3_2022_2026,2024-04-01,sparsemax,119,165,0.02209794376610278,0.03599636351392299,0.008403361344537815,52,41.48135303513722,3.7306790351867676,0.0,3.730679211206734,18,18.0,10.611808458947808
full_nocost,f3_2022_2026,2024-05-06,sparsemax,120,165,0.022236336413304903,0.03559146052187619,0.008333333333333333,50,40.1016553757647,3.582146406173706,0.0,3.582146408967674,20,19.0,11.415571654504934
full_nocost,f3_2022_2026,2024-06-03,sparsemax,120,165,0.022462827231439823,0.040533613409691804,0.008333333333333333,54,42.90169322069726,3.838876962661743,0.0,3.8388770017772913,18,21.0,11.574394839365448
full_nocost,f3_2022_2026,2024-07-01,sparsemax,119,165,0.018346052151901104,0.03425403419459442,0.008403361344537815,59,46.37143078416276,4.157238006591797,0.0,4.157237805891782,21,23.0,12.04417311697318
full_nocost,f3_2022_2026,2024-08-01,sparsemax,119,165,0.01772137862628946,0.033949347302912415,0.008403361344537815,63,49.95205316925118,4.52670431137085,0.0,4.526704398915172,22,29.0,11.961394680655888
full_nocost,f3_2022_2026,2024-09-02,sparsemax,120,165,0.01723290270702214,0.034348492227339496,0.008333333333333333,64,49.502675388246274,4.395337104797363,0.0,4.395337244961411,24,23.0,11.601218734026142
full_nocost,f3_2022_2026,2024-10-08,sparsemax,119,165,0.01973184692011955,0.03967080887665331,0.008403361344537815,63,45.21239948164109,3.989698648452759,0.0,3.989698682911694,21,18.0,11.12071324404452
full_nocost,f3_2022_2026,2024-11-01,sparsemax,119,165,0.0219578003569136,0.04243450932314291,0.008403361344537815,58,42.4710866557411,3.759915590286255,0.0,3.759915502043441,18,20.0,11.760448909018924
full_nocost,f3_2022_2026,2024-12-02,sparsemax,119,165,0.02339041153219065,0.034919125929928754,0.008403361344537815,44,33.92956812714824,3.05193829536438,0.0,3.0519382008351386,19,19.0,11.71100345091375
full_nocost,f3_2022_2026,2025-01-02,sparsemax,117,165,0.019877886398191758,0.03341981815572223,0.008547008547008548,60,46.55670894302796,4.163419723510742,0.0,4.163419351447374,24,29.0,12.643064497347684
full_nocost,f3_2022_2026,2025-02-05,sparsemax,118,165,0.012382930942752222,0.027021710622771564,0.00847457627118644,82,58.452928996414386,5.18996000289917,0.0,5.1899602129124105,25,24.0,12.06124804688468
full_nocost,f3_2022_2026,2025-03-03,sparsemax,119,165,0.015205345816416712,0.031288379370900135,0.008403361344537815,73,50.89921807881473,4.51003885269165,0.0,4.510038781183539,16,20.0,11.019693107076165
full_nocost,f3_2022_2026,2025-04-01,sparsemax,120,165,0.02155629928608979,0.03307912695842485,0.008333333333333333,55,42.75007488474867,3.8277759552001953,0.0,3.827775916666724,19,23.0,12.756550969576194
full_nocost,f3_2022_2026,2025-05-06,sparsemax,120,165,0.021088823632290213,0.034865035735613975,0.008333333333333333,58,41.897666577344864,3.7389121055603027,0.0,3.738912279368378,20,20.0,11.369955810388412
full_nocost,f3_2022_2026,2025-06-03,sparsemax,118,165,0.01971765530711918,0.031326463059285437,0.00847457627118644,55,43.319164555497075,3.8800315856933594,0.0,3.8800314112304477,18,22.0,11.571935278338005
full_nocost,f3_2022_2026,2025-07-01,sparsemax,118,165,0.016011779569633944,0.033320547953658436,0.00847457627118644,66,50.89152685555994,4.491611957550049,0.0,4.491612606216222,19,22.0,11.78371811548745
full_nocost,f3_2022_2026,2025-08-01,sparsemax,120,165,0.016388405167595554,0.03254230983050851,0.008333333333333333,62,46.7032661419045,4.155178070068359,0.0,4.1551777991699055,19,20.0,11.47249723545015
full_nocost,f3_2022_2026,2025-09-01,sparsemax,119,165,0.02046682777850326,0.03521645721635085,0.008403361344537815,55,40.099428103077656,3.524968147277832,0.0,3.524968085810542,14,15.0,10.933539748854589
full_nocost,f3_2022_2026,2025-10-09,sparsemax,120,165,0.020460724313286313,0.03390430974929283,0.008333333333333333,56,36.798833816502615,3.2523138523101807,0.0,3.2523137509124354,17,19.0,11.820337192746257
full_nocost,f3_2022_2026,2025-11-03,sparsemax,120,165,0.025502878903989317,0.03398795852360005,0.008333333333333333,49,36.41063084499143,3.271933078765869,0.0,3.271932984003797,20,20.0,12.527881031108068
full_nocost,f3_2022_2026,2025-12-01,sparsemax,120,165,0.024997155219064572,0.03532752743340097,0.008333333333333333,43,37.271991345293515,3.3770949840545654,0.0,3.377095009200275,19,20.0,11.451292430754345
full_nocost,f3_2022_2026,2026-01-05,sparsemax,119,165,0.019097850800563084,0.03217062132409578,0.008403361344537815,55,41.76339326710505,3.6998238563537598,0.0,3.699823899427429,18,17.0,11.721374634960727
full_nocost,f3_2022_2026,2026-02-02,sparsemax,120,165,0.01332194110480149,0.023391349667993683,0.008333333333333333,70,46.91623494095055,4.108401298522949,0.0,4.108401260775281,18,19.0,11.714911209618196
full_nocost,f3_2022_2026,2026-03-02,sparsemax,120,165,0.01725176804245397,0.030574982716158654,0.008333333333333333,63,41.21658458967938,3.555339813232422,0.0,3.555339755374007,14,15.0,10.58025993401386
full_nocost,f3_2022_2026,2026-04-01,sparsemax,120,165,0.020303419909276636,0.03249772163302017,0.008333333333333333,54,38.12283957370878,3.3649215698242188,0.0,3.364921599626541,17,20.0,11.223646630900747
full_nocost,f3_2022_2026,2026-05-06,sparsemax,120,165,0.019535330034518537,0.03585234057585088,0.008333333333333333,56,40.498988353936376,3.581698179244995,0.0,3.581698318652343,15,18.0,11.786945357325642
full_nocost,f3_2022_2026,2026-06-01,sparsemax,120,165,0.0187121227835896,0.03070838581964684,0.008333333333333333,51,33.68470516943125,2.9657340049743652,0.0,2.9657338659162633,16,16.0,11.035445174158319
full_nocost,f3_2022_2026,2026-07-01,sparsemax,119,165,0.01908381137417562,0.0277970568903041,0.008403361344537815,48,35.250124770963424,3.1622869968414307,0.0,3.162286976352334,17,18.0,10.951054996647667
