experiment,fold,date,selection,n_valid,n_max,score_std,score_spread,spar_thresh,pi_support,pi_pr,cap_budget,deficit,cap_sum,cap_at_max,book_n,book_pr
full_nosparse,f2_2020_2021,2020-01-02,sparsemax,116,155,0.053622950643533514,0.07724772736526511,0.008620689655172414,27,20.306489079121963,1.8001255989074707,0.0,1.800125510781072,11,12.0,10.467604778345542
full_nosparse,f2_2020_2021,2020-02-03,sparsemax,118,155,0.034273435237578975,0.06532517187218419,0.00847457627118644,40,28.519896520383945,2.517348051071167,0.0,2.5173480384983122,8,22.0,11.531866571721498
full_nosparse,f2_2020_2021,2020-03-02,sparsemax,118,155,0.04361619679629451,0.07368553829205743,0.00847457627118644,32,22.03009552343981,1.9225494861602783,0.0,1.9225494605489075,8,15.0,10.839239005084968
full_nosparse,f2_2020_2021,2020-04-01,sparsemax,120,155,0.04761398475397727,0.06894233043227965,0.008333333333333333,28,20.880489136293626,1.8575685024261475,0.0,1.8575686030089855,9,14.0,10.678789961502401
full_nosparse,f2_2020_2021,2020-05-06,sparsemax,120,155,0.05653811708176873,0.06930232804346209,0.008333333333333333,23,17.313690068984016,1.5487565994262695,0.0,1.5487565230578184,11,11.0,10.492743131067309
full_nosparse,f2_2020_2021,2020-06-01,sparsemax,120,155,0.052470409136238585,0.07255271352672328,0.008333333333333333,23,15.123379519885773,1.3516480922698975,0.0,1.3516481006518006,6,12.0,10.843426209443054
full_nosparse,f2_2020_2021,2020-07-01,sparsemax,119,155,0.0511530855764513,0.06795558236742846,0.008403361344537815,29,18.251370479874005,1.6022683382034302,0.0,1.6022683463525027,8,15.0,10.746059863035697
full_nosparse,f2_2020_2021,2020-08-03,sparsemax,118,155,0.05229964331312599,0.0731798011999009,0.00847457627118644,22,18.13969355925612,1.6526994705200195,0.0,1.6526994928717613,10,14.0,11.1476316238862
full_nosparse,f2_2020_2021,2020-09-01,sparsemax,119,155,0.05844262925265851,0.07980386258549049,0.008403361344537815,24,18.03228574316539,1.6265062093734741,0.0,1.626506231725216,8,14.0,10.808330827930757
full_nosparse,f2_2020_2021,2020-10-09,sparsemax,119,155,0.059385886707573145,0.07658309140438292,0.008403361344537815,23,18.780948267370565,1.690319299697876,0.0,1.6903194040060043,10,13.0,10.914491890943571
full_nosparse,f2_2020_2021,2020-11-02,sparsemax,119,155,0.06191430932091508,0.07852701862350482,0.008403361344537815,22,18.091225972206175,1.616823673248291,0.0,1.6168236252851784,9,13.0,10.606766549244565
full_nosparse,f2_2020_2021,2020-12-01,sparsemax,119,155,0.054265961498685684,0.06854451308418222,0.008403361344537815,21,15.647988917868608,1.390189290046692,0.0,1.3901892864960246,7,14.0,11.005212097433953
full_nosparse,f2_2020_2021,2021-01-04,sparsemax,117,155,0.04495482627475307,0.0674287306272194,0.008547008547008548,30,20.012185995248302,1.7766761779785156,0.0,1.7766762326355092,9,15.0,11.21373829510557
full_nosparse,f2_2020_2021,2021-02-01,sparsemax,119,155,0.04350941484660694,0.06307483977098174,0.008403361344537815,26,18.569934203046557,1.655036449432373,0.0,1.6550365244038403,8,11.0,10.340635218521998
full_nosparse,f2_2020_2021,2021-03-01,sparsemax,119,155,0.04958304316363858,0.06704446254298091,0.008403361344537815,24,16.762269752940362,1.493747591972351,0.0,1.493747630622238,8,12.0,10.618176761560813
full_nosparse,f2_2020_2021,2021-04-01,sparsemax,119,155,0.05113997455950339,0.06565182827444387,0.008403361344537815,25,18.23930950293147,1.5956590175628662,0.0,1.5956590841524303,7,15.0,10.683550719289906
full_nosparse,f2_2020_2021,2021-05-06,sparsemax,119,155,0.05711213164578232,0.07642688411248832,0.008403361344537815,20,16.04195607674193,1.4720017910003662,0.0,1.4720017681829631,7,13.0,10.853170368221711
full_nosparse,f2_2020_2021,2021-06-01,sparsemax,119,155,0.05366663046113614,0.07829498701548877,0.008403361344537815,21,14.984665636460681,1.318016529083252,0.0,1.3180165085941553,7,13.0,10.654686768708837
full_nosparse,f2_2020_2021,2021-07-01,sparsemax,118,155,0.051283782373279595,0.06764011571215371,0.00847457627118644,25,17.15462994437073,1.5343172550201416,0.0,1.5343173302244395,6,13.0,10.79152976094525
full_nosparse,f2_2020_2021,2021-08-02,sparsemax,119,155,0.04304112361908688,0.08163386705417593,0.008403361344537815,28,18.659583590389076,1.6087136268615723,0.0,1.608713694731705,8,16.0,10.836448160497179
full_nosparse,f2_2020_2021,2021-09-01,sparsemax,119,155,0.04954429944795253,0.06575867453856128,0.008403361344537815,27,16.219923373817654,1.4028433561325073,0.0,1.4028433763887733,6,13.0,10.709524067289511
full_nosparse,f2_2020_2021,2021-10-08,sparsemax,119,155,0.059618390865305626,0.08503520186646145,0.008403361344537815,25,19.70485187318548,1.7567095756530762,0.0,1.756709640379995,8,13.0,10.434465985987735
full_nosparse,f2_2020_2021,2021-11-01,sparsemax,119,155,0.06009109968448115,0.08137516685205848,0.008403361344537815,25,18.710310594696157,1.6554419994354248,0.0,1.6554418583400548,6,15.0,10.931777400445787
full_nosparse,f2_2020_2021,2021-12-01,sparsemax,119,155,0.05695274130147861,0.07496805025358536,0.008403361344537815,22,17.50364904086844,1.56578528881073,0.0,1.5657851658761501,7,14.0,10.738135300717955
