epoch,train_L_pred,train_L_total,val_L_pred,val_L_total,seconds_train,seconds_val
0,-0.46700158873659986,-0.46700158873659986,-0.4462377070025964,-0.4462377070025964,5.678543567657471,0.16217303276062012
1,-0.6043736694781022,-0.6043736694781022,-0.6508449939164248,-0.6508449939164248,5.383851766586304,0.19411230087280273
2,-0.6703754549967909,-0.6703754549967909,-0.6598814969713037,-0.6598814969713037,5.833549976348877,0.17589902877807617
3,-0.6850812705146654,-0.6850812705146654,-0.6680804328484968,-0.6680804328484968,5.603990316390991,0.17346906661987305
4,-0.6939646612078161,-0.6939646612078161,-0.6667673127217726,-0.6667673127217726,5.3469061851501465,0.24637389183044434
5,-0.7004689980541992,-0.7004689980541992,-0.6664615706963972,-0.6664615706963972,5.996745347976685,0.16170048713684082
6,-0.7049152847274999,-0.7049152847274999,-0.6665325246073983,-0.6665325246073983,5.565141677856445,0.16686105728149414
7,-0.7095646194104,-0.7095646194104,-0.6668868931857023,-0.6668868931857023,5.711893320083618,0.16083049774169922
8,-0.7134210372639593,-0.7134210372639593,-0.6650343320586465,-0.6650343320586465,5.365330219268799,0.18088722229003906
9,-0.7179610738269636,-0.7179610738269636,-0.6609751609238711,-0.6609751609238711,5.35188102722168,0.17023706436157227
