epoch,train_L_pred,train_L_total,val_L_pred,val_L_total,seconds_train,seconds_val
0,-0.46700158873659986,-0.46700158873659986,-0.4462377070025964,-0.4462377070025964,5.890279293060303,0.15723562240600586
1,-0.6043736694781022,-0.6043736694781022,-0.6508449939164248,-0.6508449939164248,5.706515550613403,0.16035223007202148
2,-0.6703754549967909,-0.6703754549967909,-0.6598814969713037,-0.6598814969713037,5.240593433380127,0.15290188789367676
3,-0.6850812705146654,-0.6850812705146654,-0.6680804328484968,-0.6680804328484968,5.272395610809326,0.14403867721557617
4,-0.6939646612078161,-0.6939646612078161,-0.6667673127217726,-0.6667673127217726,5.1487579345703125,0.16513919830322266
5,-0.7004689980541992,-0.7004689980541992,-0.6664615706963972,-0.6664615706963972,4.783010005950928,0.1342325210571289
6,-0.7049152847274999,-0.7049152847274999,-0.6665325246073983,-0.6665325246073983,5.925311326980591,0.16455745697021484
7,-0.7095646194104,-0.7095646194104,-0.6668868931857023,-0.6668868931857023,6.684499263763428,0.1570727825164795
8,-0.7134210372639593,-0.7134210372639593,-0.6650343320586465,-0.6650343320586465,5.789623498916626,0.23264098167419434
9,-0.7179610738269636,-0.7179610738269636,-0.6609751609238711,-0.6609751609238711,6.278210878372192,0.19550871849060059
