experiment,fold,date,selection,n_valid,n_max,score_std,score_spread,spar_thresh,pi_support,pi_pr,cap_budget,deficit,cap_sum,cap_at_max,book_n,book_pr
full,f3_2022_2026,2022-01-04,sparsemax,113,165,0.09773515848138017,0.1647836648883809,0.008849557522123894,14,9.545187470610584,0.8231382966041565,0.1768617033958435,0.9999999739229679,8,14.0,11.239934879126558
full,f3_2022_2026,2022-02-07,sparsemax,119,165,0.09776136129437586,0.15292385129743263,0.008403361344537815,20,13.094404100016874,1.1657503843307495,0.0,1.1657504267059267,4,19.0,13.003956030934361
full,f3_2022_2026,2022-03-01,sparsemax,119,165,0.1386846376737939,0.20311686464687106,0.008403361344537815,16,11.080476596993197,0.9571992754936218,0.042800724506378174,0.9999999487772584,7,16.0,12.161095477212916
full,f3_2022_2026,2022-04-01,sparsemax,119,165,0.11965619032257531,0.1718672637068549,0.008403361344537815,14,10.194849142573542,0.9063718318939209,0.0936281681060791,1.0000000612344593,8,14.0,11.039905898451453
full,f3_2022_2026,2022-05-05,sparsemax,119,165,0.15276425013389278,0.2095338742898292,0.008403361344537815,16,11.971877118512255,1.063638687133789,0.0,1.0636386915575713,6,16.0,11.861204500324124
full,f3_2022_2026,2022-06-01,sparsemax,118,165,0.13121522935304275,0.2175651400555241,0.00847457627118644,16,10.837023881622136,0.9532565474510193,0.04674345254898071,1.000000043772161,6,16.0,11.809298137537363
full,f3_2022_2026,2022-07-01,sparsemax,117,165,0.10810294822183211,0.18839085807339248,0.008547008547008548,13,9.588209044919518,0.8433799743652344,0.15662002563476562,1.0000000204890966,9,13.0,10.77727181329543
full,f3_2022_2026,2022-08-01,sparsemax,119,165,0.11256213046729151,0.1867748546108854,0.008403361344537815,18,10.744588338574383,0.9403215646743774,0.05967843532562256,0.9999999854480848,6,18.0,12.256697579323513
full,f3_2022_2026,2022-09-01,sparsemax,119,165,0.12355360963680857,0.18974519609434515,0.008403361344537815,13,8.063579622620743,0.7063146829605103,0.29368531703948975,0.9999999569263309,9,13.0,10.420453908430035
full,f3_2022_2026,2022-10-10,sparsemax,119,165,0.10476782899161459,0.18764665494320773,0.008403361344537815,18,13.490189788946923,1.1948753595352173,0.0,1.1948753036558628,6,18.0,12.605616709011773
full,f3_2022_2026,2022-11-01,sparsemax,119,165,0.1381736090663446,0.19506686091610864,0.008403361344537815,13,7.287483221337322,0.6410507559776306,0.3589492440223694,1.0000000168802217,7,12.0,10.133628118022639
full,f3_2022_2026,2022-12-01,sparsemax,119,165,0.14805678992210855,0.17700461534579762,0.008403361344537815,12,9.374259136373283,0.8467422723770142,0.15325772762298584,0.9999999003484845,9,12.0,10.480721683609191
full,f3_2022_2026,2023-01-03,sparsemax,118,165,0.10607495000195948,0.15378116599236757,0.00847457627118644,13,6.983335879321665,0.5795275568962097,0.4204724431037903,1.0000000286381692,9,13.0,10.338424709014571
full,f3_2022_2026,2023-02-01,sparsemax,119,165,0.11509904961858487,0.19606340513760304,0.008403361344537815,12,9.946167900715256,0.8775322437286377,0.1224677562713623,0.9999999720603228,8,12.0,10.8179244441807
full,f3_2022_2026,2023-03-01,sparsemax,119,165,0.13483976985978582,0.1619557015159551,0.008403361344537815,12,8.20709006343227,0.7283427715301514,0.27165722846984863,0.999999949708581,9,12.0,10.32622445847556
full,f3_2022_2026,2023-04-03,sparsemax,119,165,0.13624447812247892,0.1944899397096088,0.008403361344537815,13,8.752482441218568,0.7475473880767822,0.2524526119232178,0.9999999911524355,9,13.0,10.65624337366342
full,f3_2022_2026,2023-05-04,sparsemax,118,165,0.13964140325318963,0.2057148770318698,0.00847457627118644,15,12.275075005616065,1.110053300857544,0.0,1.1100533287972212,6,15.0,11.31665489639901
