experiment,fold,date,selection,n_valid,n_max,score_std,score_spread,spar_thresh,pi_support,pi_pr,cap_budget,deficit,cap_sum,cap_at_max,book_n,book_pr
full,f2_2020_2021,2020-01-02,sparsemax,294,682,0.03692059205534787,0.04373686950492235,0.003401360544217687,38,22.440098431895436,1.9512345790863037,0.0,1.9512345582188573,9,30.0,18.34231400610813
full,f2_2020_2021,2020-02-03,sparsemax,294,682,0.04158904543623357,0.046371551133933014,0.003401360544217687,35,22.837608001809283,1.936854362487793,0.0,1.9368544262833893,9,28.0,21.246585634256505
full,f2_2020_2021,2020-03-02,sparsemax,294,682,0.04310527604658798,0.04670679287075819,0.003401360544217687,33,22.920477664824258,2.0193567276000977,0.0,2.019356760662049,9,23.0,16.484411159565177
full,f2_2020_2021,2020-04-01,sparsemax,293,682,0.046107715213483634,0.0482143946373422,0.0034129692832764505,35,25.55356919209846,2.296751022338867,0.0,2.2967509220470674,10,28.0,17.047857668526106
full,f2_2020_2021,2020-05-06,sparsemax,293,682,0.04080331959843584,0.04724612518820798,0.0034129692832764505,37,24.071583780432142,2.1165099143981934,0.0,2.116509680694435,10,26.0,17.23526146864097
full,f2_2020_2021,2020-06-01,sparsemax,293,682,0.039805792514780336,0.046768152059624826,0.0034129692832764505,34,22.992561175492707,1.9849040508270264,0.0,1.9849041100533213,10,24.0,19.374530096972315
full,f2_2020_2021,2020-07-01,sparsemax,294,682,0.04166369039302298,0.045994705262397524,0.003401360544217687,37,24.968460723402405,2.207282304763794,0.0,2.2072823501657695,11,27.0,18.20449453236279
full,f2_2020_2021,2020-08-03,sparsemax,294,682,0.042278606676468114,0.04523187986777804,0.003401360544217687,37,25.07411985603968,2.1916842460632324,0.0,2.1916842102073133,11,29.0,20.020842040881423
full,f2_2020_2021,2020-09-01,sparsemax,294,682,0.040179445591975886,0.04416772961255391,0.003401360544217687,36,21.371060006631005,1.8978480100631714,0.0,1.8978480193763971,8,28.0,16.665075106355925
full,f2_2020_2021,2020-10-09,sparsemax,293,682,0.040865559204266245,0.04679948071640862,0.0034129692832764505,33,21.941157757517278,1.9823243618011475,0.0,1.982324467448052,9,29.0,16.518526817386274
full,f2_2020_2021,2020-11-02,sparsemax,294,682,0.04115811917370861,0.0462604581543124,0.003401360544217687,34,22.96552596811238,2.0051519870758057,0.0,2.0051519903354347,11,30.0,21.163066354081124
full,f2_2020_2021,2020-12-01,sparsemax,294,682,0.039980516669677675,0.04402344359035863,0.003401360544217687,40,26.350836531472158,2.3081412315368652,0.0,2.308141347253695,11,31.0,21.10520045324437
full,f2_2020_2021,2021-01-04,sparsemax,293,682,0.03488248556077959,0.03776034027411135,0.0034129692832764505,33,21.960078083653713,1.8720749616622925,0.0,1.8720749136991799,8,30.0,21.28923442502131
full,f2_2020_2021,2021-02-01,sparsemax,294,682,0.03850436862354667,0.042196032203113035,0.003401360544217687,39,24.347809843424663,2.0964882373809814,0.0,2.096488183698966,8,34.0,20.197685393635464
full,f2_2020_2021,2021-03-01,sparsemax,294,682,0.03938099603338113,0.04319461560918994,0.003401360544217687,34,22.61274350295108,2.0033817291259766,0.0,2.0033816647919593,7,29.0,17.888234463694815
full,f2_2020_2021,2021-04-01,sparsemax,294,682,0.03939794079607171,0.043583274052358,0.003401360544217687,41,27.003623873612636,2.311208486557007,0.0,2.3112084954045713,8,30.0,19.6617363939144
full,f2_2020_2021,2021-05-06,sparsemax,294,682,0.03722049654663255,0.04741297326554374,0.003401360544217687,34,21.723569403389295,1.9242759943008423,0.0,1.9242759671760723,9,32.0,17.798614144391813
full,f2_2020_2021,2021-06-01,sparsemax,294,682,0.03704786712921268,0.04764040315454053,0.003401360544217687,34,22.635451364261776,2.0015037059783936,0.0,2.001503728912212,7,29.0,18.202878523387515
full,f2_2020_2021,2021-07-01,sparsemax,295,682,0.03218104682374076,0.03890158042658941,0.003389830508474576,41,24.125260595483354,2.0663938522338867,0.0,2.0663938021752983,8,33.0,19.24544438025268
full,f2_2020_2021,2021-08-02,sparsemax,294,682,0.03881568738500129,0.04241775334527602,0.003401360544217687,33,21.379577710031324,1.8411917686462402,0.0,1.8411917735356838,8,31.0,18.94307771561706
full,f2_2020_2021,2021-09-01,sparsemax,295,682,0.04025003178706187,0.044094195639146336,0.003389830508474576,28,19.367440749875172,1.6804695129394531,0.0,1.6804694840102457,8,29.0,18.866379378478584
full,f2_2020_2021,2021-10-08,sparsemax,295,682,0.04144868835307496,0.04640214908868075,0.003389830508474576,36,24.5147471457535,2.1736485958099365,0.0,2.173648542491719,8,31.0,19.00402032795914
full,f2_2020_2021,2021-11-01,sparsemax,293,682,0.03792813810248537,0.04167429300513017,0.0034129692832764505,37,25.957638388953864,2.2917563915252686,0.0,2.2917563118971884,8,29.0,18.700910957246748
full,f2_2020_2021,2021-12-01,sparsemax,293,682,0.03912942149991585,0.044441384173541904,0.0034129692832764505,31,22.294428949890083,1.9653421640396118,0.0,1.965342209674418,9,28.0,18.794002197471954
