experiment,fold,date,selection,n_valid,n_max,score_std,score_spread,spar_thresh,pi_support,pi_pr,cap_budget,deficit,cap_sum,cap_at_max,book_n,book_pr
lstm_topk,f1_2018_2019,2018-01-02,topk,280,613,0.0007867752920125323,0.0018024126092703744,0.0035714285714285713,25,24.999996460349593,2.5,0.0,2.499999850988388,0,25.0,19.325053607605927
lstm_topk,f1_2018_2019,2018-02-01,topk,278,613,0.0007294148096289484,0.001759983508733751,0.0035971223021582736,25,25.000001116962128,2.5,0.0,2.500000037252903,25,25.0,20.211135704225292
lstm_topk,f1_2018_2019,2018-03-01,topk,276,613,0.0008963581562965192,0.0017062523343222401,0.0036231884057971015,25,24.999996460349593,2.499999761581421,0.0,2.499999850988388,0,25.0,20.8652141375413
lstm_topk,f1_2018_2019,2018-04-02,topk,277,613,0.0007889034376050969,0.0016664653101983052,0.0036101083032490976,25,24.999996460349593,2.5,0.0,2.499999850988388,0,25.0,19.95068690071613
lstm_topk,f1_2018_2019,2018-05-02,topk,278,613,0.0008030757675329403,0.001870224166916107,0.0035971223021582736,25,25.000001116962128,2.5,0.0,2.500000037252903,25,25.0,19.1156741478842
lstm_topk,f1_2018_2019,2018-06-01,topk,275,613,0.0007156738940761229,0.0015635056869888848,0.0036363636363636364,25,25.000001116962128,2.5,0.0,2.500000037252903,25,25.0,19.11382790597666
lstm_topk,f1_2018_2019,2018-07-02,topk,278,613,0.000860267180614426,0.0018160098898995052,0.0035971223021582736,25,24.999996460349593,2.5,0.0,2.499999850988388,0,27.0,20.63423930227818
lstm_topk,f1_2018_2019,2018-08-01,topk,281,613,0.0008635213754499388,0.0017785138352790653,0.0035587188612099642,25,25.000001116962128,2.500000238418579,0.0,2.500000037252903,25,27.0,20.459380070043533
lstm_topk,f1_2018_2019,2018-09-03,topk,284,613,0.0008707948953661444,0.001776080857306509,0.0035211267605633804,25,25.000001116962128,2.5,0.0,2.500000037252903,25,28.0,20.39354691273778
lstm_topk,f1_2018_2019,2018-10-08,topk,281,613,0.0006682903724159843,0.0015445739914103015,0.0035587188612099642,25,24.999996460349593,2.499999761581421,0.0,2.499999850988388,0,29.0,21.53449760421826
lstm_topk,f1_2018_2019,2018-11-01,topk,282,613,0.0008045210988076253,0.0020700363988875817,0.0035460992907801418,25,24.999996460349593,2.5,0.0,2.500000037252903,25,29.0,21.771334642357104
lstm_topk,f1_2018_2019,2018-12-03,topk,288,613,0.0007689624736465352,0.0016563283182525384,0.003472222222222222,25,25.000001116962128,2.5,0.0,2.500000037252903,25,28.0,21.783356282225235
lstm_topk,f1_2018_2019,2019-01-02,topk,292,613,0.0007653481006560651,0.0018353220840839493,0.003424657534246575,25,24.999996460349593,2.5,0.0,2.499999850988388,0,30.0,21.957457720179857
lstm_topk,f1_2018_2019,2019-02-01,topk,293,613,0.0008583585738922723,0.0017098650406194224,0.0034129692832764505,25,25.000001116962128,2.5,0.0,2.500000037252903,25,31.0,22.358755691499315
lstm_topk,f1_2018_2019,2019-03-01,topk,292,613,0.0008305922317741241,0.0019887086045481776,0.003424657534246575,25,24.999996460349593,2.499999761581421,0.0,2.499999664723873,0,32.0,25.265143135064523
lstm_topk,f1_2018_2019,2019-04-01,topk,290,613,0.0008005856989484509,0.0016547639228018194,0.0034482758620689655,25,24.999996460349593,2.5,0.0,2.499999850988388,0,33.0,24.720212157850096
lstm_topk,f1_2018_2019,2019-05-06,topk,292,613,0.0007356860543964698,0.001606429699004615,0.003424657534246575,25,25.000001116962128,2.5,0.0,2.500000037252903,25,33.0,24.71153460710938
lstm_topk,f1_2018_2019,2019-06-03,topk,292,613,0.0007316590800700083,0.0015127143522801053,0.003424657534246575,25,24.999996460349593,2.5,0.0,2.499999850988388,0,33.0,24.980120537263804
lstm_topk,f1_2018_2019,2019-07-01,topk,294,613,0.0008839195938126378,0.0020019128612958556,0.003401360544217687,25,24.999996460349593,2.5,0.0,2.499999850988388,0,33.0,25.326779926499015
lstm_topk,f1_2018_2019,2019-08-01,topk,293,613,0.0008145995334658039,0.0018490280800279703,0.0034129692832764505,25,25.000001116962128,2.5,0.0,2.500000037252903,25,34.0,23.965772757606604
lstm_topk,f1_2018_2019,2019-09-02,topk,294,613,0.0008196142001305927,0.0015818224594212407,0.003401360544217687,25,24.999996460349593,2.5,0.0,2.500000037252903,25,34.0,26.846902020138018
lstm_topk,f1_2018_2019,2019-10-08,topk,292,613,0.0007767112057701645,0.0015910499887094413,0.003424657534246575,25,24.999996460349593,2.5,0.0,2.499999850988388,0,35.0,26.784369488170565
lstm_topk,f1_2018_2019,2019-11-01,topk,294,613,0.0007278658821053762,0.0018965124356921537,0.003401360544217687,25,24.999996460349593,2.499999761581421,0.0,2.499999850988388,0,35.0,25.374280765639114
lstm_topk,f1_2018_2019,2019-12-02,topk,293,613,0.0007330486359749663,0.0017808620935566592,0.0034129692832764505,25,25.000001116962128,2.5,0.0,2.500000037252903,25,35.0,27.137221765717662
