n_days,total_return,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,downside_dev,var_95,cvar_95,skew,kurtosis,omega,hit_ratio,alpha,beta,r2,info_ratio,bench_ann_return,bench_sharpe,bench_max_drawdown,excess_ann_return,turnover_mean,rebalances_per_year,turnover_ann,holdings_mean,total_return_gross,ann_return_gross,ann_vol_gross,sharpe_gross,sortino_gross,max_drawdown_gross,calmar_gross,downside_dev_gross,var_95_gross,cvar_95_gross,skew_gross,kurtosis_gross,omega_gross,hit_ratio_gross,cost_drag_ann,mkt_ann_return_mkt_up,mkt_hit_mkt_up,mkt_n_mkt_up,mkt_ann_return_mkt_down,mkt_hit_mkt_down,mkt_n_mkt_down,experiment,group,fold,index,test_start,test_end,n_rebalances,n_max,max_universe,max_investable,cost_bps,cost_total,eff_holdings_mean,seconds,hhi_mean,top5_weight_mean,max_weight_mean
487,-0.05143877928986862,-0.0269562075916171,0.19151593625472496,-0.140751773031379,-0.1384766156670842,-0.32419930712025313,-0.08314702406695276,0.13891326246096755,0.017641472830470448,0.02821491338594769,-0.3510454299639805,6.071098387494956,0.9918342425046577,0.49075975359342916,-0.03503794574284866,0.8815136383424115,0.9096633180687771,-0.6158994933292643,0.008177342554688272,0.03946353342530782,-0.32461968881054737,-0.03513355014630537,0.05363724159251793,12.41889117043121,0.6661150660196067,323.125,-0.04778806714498007,-0.02502017131577705,0.19157303800130454,-0.1306038238826002,-0.12855093559815922,-0.3235162809490185,-0.07733821383697183,0.13889173307896718,0.017641472830470448,0.028211769104349197,-0.35132480553095563,6.066486908359976,0.9936523595728344,0.49075975359342916,0.0019360362758400473,7.076258720841205,0.9045643153526971,241.0,-0.8776130833327889,0.08536585365853659,246.0,ew,baseline,f1_2018_2019,csi300,2018-01-02,2019-12-02,24,613,294,613,15.0,0.0038618813946612917,321.8829562242658,31.120654582977295,0.003128989340328395,0.020286304130551838,0.004600602088908313
486,0.26932463304386833,0.13162977841344592,0.1849869030197925,0.7115626904644288,0.6726042843499357,-0.15353933885287763,0.8573032774328565,0.13286188059802212,0.015750220259370087,0.027142598903986424,-0.854765659530189,10.397704567561677,1.1484454186447368,0.5390946502057613,0.047798906436560845,0.8508759688476766,0.9125009895311025,0.5007594540022944,0.09170040551591607,0.44154997104554616,-0.1818968999378775,0.03992937289752985,0.059519900053866585,12.444444444444445,0.7406920895592286,327.625,0.27476212885205586,0.13414078413381958,0.18501153779799268,0.7250401014464459,0.6825138460466262,-0.1535393388528774,0.873657429659472,0.13283353399109044,0.015750220259370087,0.027134640465364707,-0.8552573815451682,10.396514005712744,1.1509110536717664,0.5432098765432098,0.00251100572037366,5.8030958560274355,0.8897338403041825,263.0,-0.8635508596874718,0.12556053811659193,223.0,ew,baseline,f2_2020_2021,csi300,2020-01-02,2021-12-01,24,682,295,682,15.0,0.004285432803878394,326.81594053874727,31.21756887435913,0.0030783177967052314,0.01832528674201458,0.004246433796692896
1108,-0.00876710119995594,-0.0020007495284569687,0.1545564017470825,-0.012945109395927926,-0.013138709369968858,-0.2754492254415859,-0.007263587418877185,0.10835565145806855,0.01409271049991523,0.021931392335124197,0.042795251470344756,10.407489092736691,1.0116553464057365,0.4936823104693141,0.011106294951363213,0.8139468709956121,0.9210240527528037,0.20643416653017146,-0.017857859494066486,-0.09799478744727774,-0.35103348516332844,0.015857109965609517,0.04082467582817287,12.509025270758121,0.5106769016051227,357.56363636363636,-0.002032389789822453,-0.00046260360667438327,0.15450587827586865,-0.00299408418525287,-0.0030406107099970165,-0.27356464871501573,-0.0016910211492870838,0.10825793629679785,0.01409271049991523,0.02192430372263047,0.04441259127007788,10.402979569272716,1.0134692086290156,0.4936823104693141,0.0015381459217825855,4.4288294660571275,0.922365988909427,541.0,-0.8017175180679813,0.08465608465608465,567.0,ew,baseline,f3_2022_2026,csi300,2022-01-04,2026-07-01,55,778,300,778,15.0,0.0067360715116485245,354.40014530550235,31.395823001861572,0.0028446571831344824,0.019274745120039738,0.0041622552063490656
487,0.3143641657906775,0.15194009606029413,0.2660897614645337,0.5710106815986821,0.5802182254092072,-0.36593390594827113,0.41521185544848793,0.1811317195726056,0.025005616122818947,0.03632283447479797,0.012256883338851582,4.0678266209317515,1.118051508542212,0.5215605749486653,0.14835666600539207,0.9617497630660736,0.5609191844931265,0.8341488650806202,0.008177342554688272,0.03946353342530782,-0.32461968881054737,0.14376275350560586,0.40025008132335493,12.41889117043121,4.970662200910986,12.583333333333334,0.35270995864528887,0.16920957661822666,0.2661752029731282,0.6357075141793328,0.6457708424654084,-0.3556590505513456,0.47576344916828794,0.18085312548042462,0.025005616122818947,0.03632283447479797,0.006635389728256781,4.065001840389346,1.1285817354182213,0.5236139630390144,0.017269480557932537,12.847279838369255,0.7883817427385892,241.0,-0.8992035559245811,0.2601626016260163,246.0,meancvar_hist,baseline,f1_2018_2019,csi300,2018-01-02,2019-12-02,24,613,294,613,15.0,0.028818005855281555,10.759162122884987,49.391748666763306,0.09303171096768947,0.5026399346137921,0.1026432161218764
486,0.4620860992022182,0.21770342798105569,0.34714966679533454,0.6271169147035502,0.5862604740512806,-0.32086076305518707,0.678498130803271,0.24984338683310112,0.035360086058618186,0.04952508582853984,-0.4534444547644927,3.6792911178029803,1.1278561952558186,0.5473251028806584,0.12964521649424987,1.1692848858766443,0.48931660943664795,0.5913330846037971,0.09170040551591607,0.44154997104554616,-0.1818968999378775,0.1260030224651396,0.5191834529864156,12.444444444444445,6.4609496371642825,12.541666666666666,0.5180380791429509,0.24164778827348088,0.3468628929899525,0.6966665883181705,0.6532180841760159,-0.30967032218334445,0.7803388667332806,0.2488959504937326,0.035360086058618186,0.0494198496533599,-0.4521955712655144,3.6975472141197487,1.138300286496627,0.5473251028806584,0.023944360292425193,15.165666501068511,0.779467680608365,263.0,-0.9423173609310417,0.273542600896861,223.0,meancvar_hist,baseline,f2_2020_2021,csi300,2020-01-02,2021-12-01,24,682,295,682,15.0,0.03738120861502193,10.62743638310902,64.40053868293762,0.09419799929118677,0.5013943733464532,0.10108564329565077
1108,-0.21168205678005336,-0.05265951540876779,0.2527412651830292,-0.20835345336517574,-0.21067735472602062,-0.4831195167184572,-0.10899894039978446,0.17912048419999937,0.027329951090319965,0.03744896812727766,-0.027578788580324094,5.91327444224495,0.9844673622190645,0.48646209386281586,-0.020874802833957342,0.881568774002016,0.4040293731394069,-0.1054688175863366,-0.017857859494066486,-0.09799478744727774,-0.35103348516332844,-0.0348016559147013,0.34888289894797475,12.509025270758121,4.364184999475568,12.8,-0.16479215455243157,-0.040128262774298706,0.25256985259134307,-0.1588798598193192,-0.16093331265283053,-0.46698392012726364,-0.08593071633679132,0.17852896840381377,0.02706775743804572,0.03736286821995414,-0.024562800980525046,5.905501330275218,0.993614136844878,0.48736462093862815,0.012531252634469081,5.734478446592987,0.7171903881700554,541.0,-0.8541965697467346,0.26631393298059963,567.0,meancvar_hist,baseline,f3_2022_2026,csi300,2022-01-04,2026-07-01,55,778,300,778,15.0,0.057565678326415834,10.740892130186035,91.63440823554993,0.09332489635643208,0.5125583498260068,0.1067060999366952
487,-0.015091540585877139,-0.007837823711057568,0.18235073597263324,-0.04298213368458162,-0.04227408952916036,-0.2974374670088221,-0.02635116480071791,0.13150425032713212,0.018080102116584566,0.027308784675901032,-0.1642768205401736,8.558818399400614,1.0087293905150503,0.49691991786447637,-0.011781305654781943,0.6941859230280271,0.6222558821819553,-0.1617652272944491,0.008177342554688272,0.03946353342530782,-0.32461968881054737,-0.01601516626574584,0.4391766963011758,12.41889117043121,5.454087595953822,29.833333333333332,0.016504247285131113,0.008506452729048819,0.18248071644218128,0.046615625447437754,0.046021855901947205,-0.28865818817084365,0.02946894658679918,0.13110007080381353,0.018080102116584566,0.02725266816986186,-0.16765784582109336,8.54621438098494,1.0252558307668205,0.49691991786447637,0.016344276440106387,4.153108886727744,0.8091286307053942,241.0,-0.8024675612716899,0.1910569105691057,246.0,lstm_topk,main,f1_2018_2019,csi300,2018-01-02,2019-12-02,24,613,294,613,15.0,0.03162072213368466,22.691104075127726,180.4905755519867,0.044642063872693954,0.32590142698370095,0.09567348130115229
486,0.33067574115834586,0.159668214916034,0.19295421084982936,0.8274927725744172,0.7672273330337009,-0.20208569434056622,0.7901015232030829,0.1397006176429293,0.019724358390157085,0.029448151301496483,-0.760244666718664,6.416102308262849,1.1581709295113838,0.5493827160493827,0.08135781201350391,0.7816452206708192,0.7077724005418146,0.5052920115277424,0.09170040551591607,0.44154997104554616,-0.1818968999378775,0.06796780940011793,0.5433272650846802,12.444444444444445,6.761405965498243,29.791666666666668,0.383531965449204,0.18332900524923912,0.19334815366057811,0.9481807908601622,0.8819562117276939,-0.19449571457551573,0.9425863477216051,0.13921764108007936,0.019724358390157085,0.029448151301496483,-0.7514449331426016,6.426721387206948,1.1790488063969464,0.551440329218107,0.023660790333205117,5.21605087001031,0.8098859315589354,263.0,-0.8399122191831699,0.242152466367713,223.0,lstm_topk,main,f2_2020_2021,csi300,2020-01-02,2021-12-01,24,682,295,682,15.0,0.03911956308609697,21.556563781330926,267.5195806026459,0.047183574222771085,0.3483921592738574,0.08563031417679123
1108,-0.36171836897365384,-0.09707302568735898,0.13129773180898766,-0.7393351305457517,-0.7287982743988289,-0.389194534994571,-0.24942032058264405,0.09719576814954156,0.012036597697654883,0.02061926661430866,-0.4303127205443384,11.609782192388835,0.8708822519156837,0.4675090252707581,-0.09270181811868819,0.5215391446031157,0.5239770025591074,-0.7318077951678622,-0.017857859494066486,-0.09799478744727774,-0.35103348516332844,-0.0792151661932925,0.34995000359759887,12.509025270758121,4.377533438504259,42.25454545454546,-0.3235923611320367,-0.08507991540210591,0.13086640711437472,-0.6501279990650901,-0.6442676568489308,-0.36508265902236636,-0.23304288302801474,0.09636444962641653,0.011859069601310222,0.02046797755426914,-0.4247258243373518,11.687424920207269,0.8875834568486114,0.4675090252707581,0.011993110285253072,1.621896735864833,0.7486136783733827,541.0,-0.6734730633858189,0.19929453262786595,567.0,lstm_topk,main,f3_2022_2026,csi300,2022-01-04,2026-07-01,55,778,300,778,15.0,0.05774175059360381,24.14008244105375,437.7974843978882,0.04208413718297382,0.33722192319229566,0.08935285886171877
487,-0.06459358375680435,-0.033962427095931114,0.14856152529280334,-0.22860849758370333,-0.22416662631832646,-0.29738793561985954,-0.11420243738247701,0.10855086464518808,0.014186212470207946,0.02279381659942525,-0.25874916258757846,8.480672675356118,0.9708548675156322,0.486652977412731,-0.042020120978535205,0.6256130455908754,0.7614323769095315,-0.4998309798502567,0.008177342554688272,0.03946353342530782,-0.32461968881054737,-0.042139769650619385,0.3041606935625239,12.41889117043121,3.7773385516758613,112.41666666666667,-0.04391248307559503,-0.022968796962765547,0.14868059429390826,-0.15448416164762818,-0.1519324272366352,-0.2903430433336226,-0.07910916927454308,0.1083161702959164,0.014186212470207946,0.02275628196405578,-0.2623194079988938,8.4561559011826,0.9848374998905398,0.486652977412731,0.010993630133165566,3.086252067984897,0.8257261410788381,241.0,-0.7648238965103741,0.15447154471544716,246.0,full,main,f1_2018_2019,csi300,2018-01-02,2019-12-02,24,613,294,613,15.0,0.021899569936501717,59.15617854259741,2483.2445492744446,0.01730612071488725,0.1782046350652279,0.0489919841640829
