n_days,total_return,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,downside_dev,var_95,cvar_95,skew,kurtosis,omega,hit_ratio,alpha,beta,r2,info_ratio,bench_ann_return,bench_sharpe,bench_max_drawdown,excess_ann_return,turnover_mean,rebalances_per_year,turnover_ann,holdings_mean,total_return_gross,ann_return_gross,ann_vol_gross,sharpe_gross,sortino_gross,max_drawdown_gross,calmar_gross,downside_dev_gross,var_95_gross,cvar_95_gross,skew_gross,kurtosis_gross,omega_gross,hit_ratio_gross,cost_drag_ann,hhi_mean,top5_weight_mean,max_weight_mean,mkt_ann_return_mkt_up,mkt_hit_mkt_up,mkt_n_mkt_up,mkt_ann_return_mkt_down,mkt_hit_mkt_down,mkt_n_mkt_down,experiment,group,fold,index,test_start,test_end,n_rebalances,n_max,max_universe,max_investable,cost_bps,cost_total,eff_holdings_mean,seconds
487,-0.2579582968507296,-0.14305561271323752,0.24027902973302873,-0.5953728582647639,-0.5641911036837219,-0.4073062982260678,-0.351223669597756,0.18021118438052744,0.02266052191643489,0.036545232548464604,-0.502793086843619,5.516331563982607,0.9137448429493393,0.4948665297741273,-0.0692037142103042,0.983624546273383,0.9540552563082516,-1.3217324112169493,-0.08209480241492961,-0.34406649717064036,-0.37661370332434574,-0.06096081029830791,0.2477219946532825,12.41889117043121,3.076432492121258,131.25,-0.2446504562153181,-0.13513722497732228,0.24043471437015276,-0.5620537172900771,-0.533483401337394,-0.4021263004423469,-0.3360566688343156,0.18003508911207344,0.02266052191643489,0.036545232548464604,-0.5039084659394877,5.512923361790127,0.9199123531127111,0.4948665297741273,0.007918387735915244,0.007748380660423893,0.04988850288821036,0.011268841652831693,12.90920221445667,0.9458333333333333,240.0,-0.9428647066637518,0.05668016194331984,247.0,ew,baseline,f1_2018_2019,csi500,2018-01-02,2019-12-02,24,230,117,230,15.0,0.01783598361503634,130.24864947945488,63.558778047561646
486,0.2797405812477556,0.13643528761675472,0.2414433765620044,0.5650819233871887,0.5002163792338907,-0.20592392547355332,0.6625518977603068,0.17971813183992497,0.02216243248051062,0.03656370275760821,-0.9122314812823085,6.900540186511747,1.1197557211176767,0.565843621399177,-0.04802403282559997,1.103975458876352,0.9340170467197736,-0.43598337336773746,0.17755001353917965,0.8400157551088315,-0.15239992919978107,-0.04111472592242493,0.24758409855523822,12.444444444444445,3.08104655979852,136.54166666666666,0.3026889253836256,0.14695674717832286,0.24153997390001591,0.6084158444065857,0.5380811539956349,-0.20517882990949954,0.7162373781112928,0.17952844194923762,0.022124475036868523,0.03655596995709992,-0.912334787781276,6.9070130305291135,1.1271891093212416,0.5679012345679012,0.010521459561568136,0.007480571023294191,0.04458050975127941,0.009899203383876119,11.717107348332007,0.9333333333333333,270.0,-0.9444747941574816,0.10648148148148148,216.0,ew,baseline,f2_2020_2021,csi500,2020-01-02,2021-12-01,24,261,119,261,15.0,0.01782605509597715,135.75571167759765,56.87364077568054
1108,-0.16057440418660818,-0.03902795340785081,0.19666022717660855,-0.19845371872169246,-0.18854193476042103,-0.3911617687090967,-0.09977445785831777,0.14490983204222832,0.021373327419955283,0.03035784815231698,-0.3569796978656571,6.272796108522701,0.9820799052647537,0.509927797833935,-0.043260569359505216,0.8128031484566979,0.897761310424571,-0.6373434951984615,0.0018517263852451116,0.008077281393408062,-0.3843729925978424,-0.040879679793095924,0.19806377965216723,12.509025270758121,2.477584824890828,161.47272727272727,-0.13255772653724385,-0.03182551227857999,0.19649750992648687,-0.161963946975646,-0.1538901092085133,-0.38050753196576725,-0.08363963812796013,0.14450851810978732,0.021373327419955283,0.03026394430201632,-0.35400252828360745,6.26914769162014,0.9885609913564963,0.5117328519855595,0.00720244112927082,0.00667130015432592,0.05438683177625028,0.011375116357857065,7.181688975903702,0.924865831842576,559.0,-0.8914483960971464,0.08743169398907104,549.0,ew,baseline,f3_2022_2026,csi500,2022-01-04,2026-07-01,55,310,120,310,15.0,0.032680523642607595,153.2627224051931,55.65914344787598
487,-0.25775393450284523,-0.1429334980170739,0.3065534684638277,-0.4662596014109022,-0.48327700130750756,-0.3833128658482289,-0.37288990470167993,0.2165178308047539,0.029385004043584118,0.04250072022148783,0.06671635759179359,4.227527354126183,0.9429017463743703,0.46406570841889117,-0.0460027224402638,1.0736788395863106,0.6983656520421967,-0.29660246194168716,-0.08209480241492961,-0.34406649717064036,-0.37661370332434574,-0.06083869560214428,0.4787528018355018,12.41889117043121,5.945578943534116,12.583333333333334,-0.23184520750796456,-0.12758119614666796,0.30686038938404103,-0.415763000245033,-0.4320599553196233,-0.37483596385985163,-0.3403654089989338,0.21617149509859004,0.029385004043584118,0.04250072022148783,0.06289396429047457,4.218217779083628,0.9521954120271869,0.46406570841889117,0.015352301870405927,0.0954457250322263,0.5022466254368665,0.1017171344630367,15.540558827164968,0.7625,240.0,-0.951704012672118,0.17408906882591094,247.0,meancvar_hist,baseline,f1_2018_2019,csi500,2018-01-02,2019-12-02,24,230,117,230,15.0,0.03447020173215613,10.485969919936805,69.85514259338379
486,-0.2072826899030712,-0.11347499021136187,0.3743192469808505,-0.3031502951734861,-0.2788664831621436,-0.3846042803593208,-0.2950434927696244,0.28114456483370664,0.04054757705632366,0.05636608894435424,-0.47479813854072545,3.667991521602841,0.9784324079370137,0.522633744855967,-0.3069621566503945,1.3822039879379715,0.6091531895162726,-0.9527964046223812,0.17755001353917965,0.8400157551088315,-0.15239992919978107,-0.2910250037505415,0.529583738479252,12.444444444444445,6.590375412186247,11.458333333333334,-0.17646163689690753,-0.09576667857666865,0.37434273725167105,-0.2558261962814163,-0.23488305695815306,-0.367600876618691,-0.2605180908640937,0.2804842750196915,0.04054757705632366,0.05620619741762633,-0.4732346707981903,3.6742691696130048,0.9869191123585468,0.5267489711934157,0.01770831163469322,0.09584294655457297,0.5000034825911642,0.10000203022658445,21.062132713642136,0.7814814814814814,270.0,-0.9840505626836522,0.19907407407407407,216.0,meancvar_hist,baseline,f2_2020_2021,csi500,2020-01-02,2021-12-01,24,261,119,261,15.0,0.03813002917050614,10.442699711701712,63.28048825263977
1108,-0.3509417746289826,-0.09362818602355416,0.2493319357623318,-0.3755162199229962,-0.3888573621010452,-0.3697149288307908,-0.2532442666560685,0.1723933746866914,0.024538216151592688,0.0348225478580902,0.5472304467496119,8.519510984587725,0.9535166175793445,0.48736462093862815,-0.0877343052401121,0.7246048838639426,0.4438844180413524,-0.4862131128369196,0.0018517263852451116,0.008077281393408062,-0.3843729925978424,-0.09547991240879927,0.3136648053871842,12.509025270758121,3.9236409771357152,11.381818181818181,-0.31623757211072734,-0.08282676911056552,0.249054248955056,-0.33256517187752266,-0.3453892315205166,-0.34455452199294034,-0.24038799035777153,0.17169838705337498,0.024380225487057133,0.03467026472976372,0.5515611255871904,8.531572580317414,0.9614489063689927,0.48736462093862815,0.010801416912988637,0.10421935318525777,0.5778031150633155,0.1315433286804147,5.225900404696256,0.7298747763864043,559.0,-0.8726008264183397,0.24043715846994534,549.0,meancvar_hist,baseline,f3_2022_2026,csi500,2022-01-04,2026-07-01,55,310,120,310,15.0,0.0517546928888854,9.624721928468686,73.96505832672119
487,-0.26563141393613265,-0.147652411126861,0.13927884196882845,-1.0601208987644126,-0.962488784938264,-0.3335214236444375,-0.4427074264478769,0.11057084931808146,0.01415303433150993,0.02387682458246711,-1.042410582295377,10.09336313665331,0.7975730069742825,0.4804928131416838,-0.12586999154832818,0.4220759039848475,0.5228262397612623,-0.5524058117912589,-0.08209480241492961,-0.34406649717064036,-0.37661370332434574,-0.06555760871193139,0.31567361146260414,12.41889117043121,3.9203162261310673,45.958333333333336,-0.2487385979082093,-0.13756252247138123,0.1392800217423688,-0.9876687320298922,-0.8943725657805774,-0.3217132002970694,-0.42759365280739564,0.11020141868929019,0.01415303433150993,0.023804928841472398,-1.0455017805142854,10.106079236267714,0.8120247362175811,0.486652977412731,0.010089888655479773,0.05369553070144053,0.42538422859883324,0.108887219708236,1.8158756526445927,0.8125,240.0,-0.7331123911299835,0.15789473684210525,247.0,full,main,f1_2018_2019,csi500,2018-01-02,2019-12-02,24,230,117,230,15.0,0.022728500025307494,18.90745057421263,560.9332194328308
486,0.201363190449096,0.09979720324089447,0.18262127686445584,0.546470843673738,0.49232962559264637,-0.1536046028529715,0.6497019059801168,0.1373082707062069,0.015918803334869513,0.031347974306160105,-1.5996035512993567,15.956938693595234,1.1830246090270327,0.5411522633744856,0.013607551071885219,0.5290533181988268,0.37494079116112067,-0.42183587723825416,0.17755001353917965,0.8400157551088315,-0.15239992919978107,-0.07775281029828518,0.27211238717551495,12.444444444444445,3.3862874848508526,20.875,0.2251639592261494,0.11104163128894107,0.18253116261771987,0.6083434176195912,0.5458111111893196,-0.14950339058517226,0.7427365416550905,0.13687895048891663,0.015918803334869513,0.031287308517964206,-1.599819743435217,15.994971194802075,1.2016530705588682,0.5473251028806584,0.011244428048046595,0.06443036930037353,0.4015662655835454,0.10522003443228067,1.7621781634746747,0.7888888888888889,270.0,-0.6521525971451563,0.23148148148148148,216.0,full,main,f2_2020_2021,csi500,2020-01-02,2021-12-01,24,261,119,261,15.0,0.019592091876637078,15.78886683789448,903.5326743125916
1108,0.0540587374747139,0.012046110999116122,0.1731948481457716,0.069552363295341,0.06721995143063235,-0.32003720883094144,0.037639720216031,0.12762828807330998,0.014075970355480272,0.026563029317235847,-1.0732369120144822,15.282379700875595,1.0302951328791767,0.4927797833935018,0.013283118459392704,0.4912565913927109,0.4228341408431238,-0.005763626343038095,0.0018517263852451116,0.008077281393408062,-0.3843729925978424,0.01019438461387101,0.3444463946983863,12.509025270758121,4.30868865570364,17.90909090909091,0.11591836990549287,0.02525847476281151,0.17293742532113543,0.14605557308319986,0.14125049424972094,-0.31772718260752175,0.07949736801088404,0.12701446102973177,0.014041323372163383,0.026433803068572664,-1.0760754124450886,15.365572339610686,1.0451257829991103,0.4954873646209386,0.01321236376369539,0.08664353168295229,0.5110239898804484,0.1111033004605294,3.099106876512689,0.7924865831842576,559.0,-0.7564175544325088,0.18761384335154827,549.0,full,main,f3_2022_2026,csi500,2022-01-04,2026-07-01,55,310,120,310,15.0,0.05683365512523372,11.647642456394907,1767.8228907585144
487,-0.1951821636886487,-0.10627715145476424,0.23613252606844376,-0.45007417327996346,-0.4411702880839909,-0.30604954189580447,-0.34725473136289364,0.17156063523210885,0.02417048755015335,0.03406844604712864,-0.18795334836384087,4.42210371984677,0.9413914387897953,0.4928131416837782,-0.039687384566966674,0.7840067885061418,0.6275879146562718,-0.17876619954150977,-0.08209480241492961,-0.34406649717064036,-0.37661370332434574,-0.024182349039834627,0.6019966604856347,12.41889117043121,7.476131011534124,15.0,-0.15954820218879662,-0.08601542355071157,0.2362167139238893,-0.364137753514031,-0.35828273563636487,-0.2881523114295138,-0.2985067970615678,0.17097572211591336,0.02417048755015335,0.03406844604712864,-0.19507941900460182,4.424324884679758,0.9566444138352722,0.4928131416837782,0.020261727904052673,0.09228743021108528,0.5252668492071314,0.11243249415478085,7.410598514028283,0.7625,240.0,-0.8988021224129904,0.23076923076923078,247.0,mu020_lstm,mu_sweep,f1_2018_2019,csi500,2018-01-02,2019-12-02,24,230,117,230,15.0,0.0433437595549657,10.874311913181637,623.0689630508423
