,600000.SH,600005.SH,600009.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600068.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600123.SH,600150.SH,600177.SH,600183.SH,600188.SH,600196.SH,600256.SH,600276.SH,600309.SH,600320.SH,600332.SH,600340.SH,600346.SH,600348.SH,600362.SH,600372.SH,600383.SH,600406.SH,600436.SH,600438.SH,600485.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600550.SH,600570.SH,600583.SH,600585.SH,600588.SH,600598.SH,600606.SH,600637.SH,600642.SH,600690.SH,600703.SH,600739.SH,600745.SH,600760.SH,600795.SH,600809.SH,600832.SH,600837.SH,600887.SH,600893.SH,600900.SH,600905.SH,600918.SH,600919.SH,600930.SH,600941.SH,600958.SH,600999.SH,601006.SH,601012.SH,601066.SH,601088.SH,601111.SH,601117.SH,601118.SH,601127.SH,601138.SH,601166.SH,601168.SH,601169.SH,601186.SH,601198.SH,601211.SH,601225.SH,601229.SH,601236.SH,601288.SH,601299.SH,601318.SH,601319.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601600.SH,601601.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601699.SH,601727.SH,601728.SH,601766.SH,601788.SH,601800.SH,601816.SH,601818.SH,601857.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601995.SH,601998.SH,603019.SH,603160.SH,603259.SH,603260.SH,603288.SH,603501.SH,603799.SH,603986.SH,603993.SH,688008.SH,688012.SH,688041.SH,688111.SH,688256.SH,688599.SH,688981.SH
2018-01-02,3.948551943651223e-05,0.0,0.0,0.0,0.0,3.250544086881097e-05,0.0,0.0,1.4120454301495549e-05,2.1582060006106954e-05,2.4260437793064253e-05,0.0,2.1014194981994074e-05,3.1556000612385376e-06,2.4229111705214863e-05,0.0,0.0,0.0,0.0,3.324702411468427e-05,0.0,3.862433453932413e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7725298042697336e-05,1.716915515491289e-05,3.2448411370831576e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1298300024536087e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09992688443707673,3.413518199666103e-05,0.0,0.0,0.0,0.0,0.09989606553800384,0.0,0.0,0.09994078753202418,0.09998783786671787,3.141906180390131e-05,0.0,0.0,3.193148461050209e-05,0.0,0.0,0.0,0.0,0.0,2.9811317404906933e-05,0.0,3.2653853408613404e-05,0.0998956340882944,0.0,0.09991801740166885,0.0,0.0999015776799814,0.0,9.087848095825036e-06,0.0,1.4069149183416514e-05,0.0,3.19546400177767e-05,0.0,3.2204743841887715e-05,0.0,0.0,4.4000689462893216e-05,2.4545469051897254e-05,0.0,3.225070959546578e-05,0.0,3.893130066575319e-05,0.0,0.0,3.1007183407907627e-06,0.0,0.09981647050539948,0.0,0.0,0.0,1.5557252090174752e-06,0.0,0.0999653727266744,0.0,3.216930426404013e-05,3.2287543946080965e-05,0.0,0.0998530693428213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8595463239208363e-05,1.906672352801851e-05,2.013428768944857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.175041477394577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,2.630763595253809e-05,0.0,0.0,0.0,0.0,2.954466726721861e-05,0.0,2.708755458956334e-05,1.7530834416634288e-05,1.872149537825073e-05,2.4096262338102286e-05,0.0,3.590088080529317e-05,1.6952567256157624e-05,1.7352603789243486e-05,0.0,0.0,0.0,0.0,3.627476054453993e-05,0.0,4.224736865953542e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09992214275853727,2.0339218047640524e-05,0.030669774253058446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2393992437952803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7248517518284835e-05,3.0420020596142427e-05,0.0,0.0,0.0,0.0,3.063429266213401e-05,0.0,0.0,0.09996453520765781,4.214215196621813e-05,2.781346102783665e-05,0.0,0.0,2.9918641474674815e-05,0.0,0.0,0.0,0.0,0.0,2.6195791042640587e-05,0.0,0.03987727170328664,0.09996949848018079,0.0,0.029229586227426524,0.0,1.821236804691204e-05,0.0,1.5331821604065492e-05,0.0,1.8037352972035145e-05,0.0,2.7978002848339158e-05,0.0,0.09982337586768648,0.0,0.0,0.09997082301167867,2.681683413503387e-05,0.0,0.09984983673289144,0.0,0.09991842216444209,0.0,0.0,1.0536355504905525e-05,2.708755458956334e-05,2.116605468422742e-05,0.0,0.0,0.0,8.563895625556555e-06,0.0,0.10002370753614764,0.0,3.1406250535816916e-05,3.8767929194366656e-05,2.708755458956334e-05,2.0675217851594946e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0998967757479963,3.0762398820930926e-05,2.1664656076997994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9055975952958404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,1.7410607242779888e-05,0.0,0.0,0.0,0.0,1.882459989599547e-05,0.0,1.834339903633585e-05,1.2280046816901761e-05,1.3739487622744168e-05,1.4923642709420375e-05,0.0,2.1229338082090382e-05,1.1384322459133442e-05,1.275820609667097e-05,0.0,0.0,0.0,0.0,2.2840997045648027e-05,0.0,0.04275579529702273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.884825621628152e-06,1.4751063975794004e-05,0.09994115388519473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4199369226706624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09996864860316293,1.950480412414276e-05,0.0,0.0,0.0,0.0,1.981305332919662e-05,0.0,0.0,0.09994201821779211,0.09996998235777439,1.822804093396118e-05,0.0,0.0,1.847475635828956e-05,0.0,0.0,0.0,0.0,0.0,1.7582540186417565e-05,0.0,7.1716174320234855e-06,0.09996470694847318,0.0,0.09997266476928349,0.0,1.3461009336169074e-05,0.0,1.1329450320488513e-05,0.0,1.2765244297984364e-05,0.0,1.8370271176372412e-05,0.0,6.956327421933639e-06,0.0,0.0,0.0810477299926199,1.668145759086982e-05,0.0,6.692725953745969e-06,0.0,0.04755945782750567,0.0,0.0,8.730360272951252e-06,0.04804123383682485,0.05968212114183457,0.0,0.0,0.0,7.927488691233317e-06,0.0,7.67649649996573e-06,0.0,1.9607490189725207e-05,0.020672928236563748,1.7178688595262865e-05,0.09996986313948511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.819989785778391e-06,1.926841406312656e-05,1.5066011205462991e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181960286564332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-02,0.02031760370454543,0.0,0.0,0.0,0.0,1.5495404276875885e-05,0.0,1.4363705672758144e-05,1.2457222117763684e-05,1.2510024360913774e-05,1.4177418660280102e-05,0.0,1.678076283033299e-05,1.2490733402877788e-05,1.2541410602267995e-05,0.0,0.0,0.0,0.0,1.8347926202256003e-05,0.0,1.1520290687908924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3091214732307685e-05,1.3188982210049908e-05,1.1585181846523516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3373596296383075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000641400839122,1.4888348593313851e-05,0.0,0.0,0.0,0.0,1.652201328115239e-05,0.0,0.0,0.10001537156271233,1.2407863064096109e-05,0.01833238200202567,0.0,0.0,0.0228492567142255,0.0,0.0,0.0,0.0,0.0,1.4690148236195649e-05,0.0,0.05108314003719582,0.10001262169786666,0.0,0.10000375357004461,0.0,1.323041055674032e-05,0.0,1.248334942162823e-05,0.0,1.2172995695492642e-05,0.0,1.5352964485813225e-05,0.0,0.06772600396021386,0.0,0.0,1.2171619329393028e-05,1.3818703814126166e-05,0.0,1.2765398947616139e-05,0.0,0.01969311983118653,0.0,0.0,1.2854348767325596e-05,0.10001692907423738,1.1723706317234065e-05,0.0,0.0,0.0,1.3119774556298056e-05,0.0,0.09944603030432768,0.0,1.6009399236297422e-05,1.2279076861129371e-05,0.10001476793384377,1.2074585064523435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10001574417312502,1.545891647498852e-05,1.3535334323028844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737859513261016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02,1.318694508415522e-06,0.0,0.0,0.0,0.0,1.6080917545205746e-06,0.0,1.5684388777129948e-06,1.564144529903695e-06,1.6161706178540486e-06,1.5466544627556808e-06,0.0,7.844500572382815e-06,1.5405537577845198e-06,1.5498949221950371e-06,0.0,0.0,0.0,0.0,0.029598410840549483,0.0,1.5512315832886887e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6723884959149548e-06,1.574121279165651e-06,1.508474005237212e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6715608712041102e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.321984768599946e-06,1.469326753802503e-06,0.0,0.0,0.0,0.0,1.8572074746868122e-06,0.0,0.0,0.09999766799210813,0.09999751151134512,0.09818988299422184,0.0,0.0,1.3336903313978815e-06,0.0,0.0,0.0,0.0,0.0,1.540095772850424e-06,0.0,0.007068255160151605,1.341722918696555e-06,0.0,1.328521286940618e-06,0.0,1.7049902466828269e-06,0.0,1.570087987316799e-06,0.0,1.5180609897637956e-06,0.0,1.6530521627888261e-06,0.0,0.05186183434889295,0.0,0.0,0.038805440878257665,1.5295539329423768e-06,0.0,0.04868830387999956,0.0,0.09998405416572509,0.0,0.0,1.5481628113494527e-06,0.09999970969349235,1.5987862920140558e-06,0.0,0.0,0.0,0.09999761583185379,0.0,1.3662040781094004e-06,0.0,1.8583802936031968e-06,0.02575137412753924,0.10000025365043047,1.7008781605044495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999519410575938,1.6119125404504036e-06,1.5165039774282678e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.986776655060089e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,0.06385090043650109,0.0,0.0,0.0,0.0,5.633628266457421e-06,0.0,0.04085809061001109,4.621007807975415e-06,5.654237760887309e-06,1.5312701722040609e-06,0.0,9.572081891238092e-06,4.3463832396384116e-06,1.0086978993398038e-05,0.0,0.0,0.0,0.0,1.1426221347182574e-05,0.0,1.5904820260721917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2966646003546885e-06,7.199297945835578e-06,3.0024385939491055e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.024492253934903e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09981889326459169,4.602219083128594e-06,0.0,0.0,0.0,0.0,1.4042795346089092e-05,0.0,0.0,0.09981440514388912,0.09833684584453027,1.6521483300352202e-05,0.0,0.0,5.164950455253262e-06,0.0,0.0,0.0,0.0,0.0,5.916354078301118e-06,0.0,1.6268656178655598e-05,0.09989170055598905,0.0,0.09987819153596388,0.0,1.4696440723598198e-05,0.0,5.43836208576921e-06,0.0,7.84458495519128e-06,0.0,6.4985733180840705e-06,0.0,1.667269076397112e-05,0.0,0.0,0.04043976873288462,5.810427355249114e-06,0.0,1.4971880277122831e-05,0.0,0.00846273396812613,0.0,0.0,6.713405957532828e-06,0.06224585022584135,4.579066962112771e-06,0.0,0.0,0.0,1.7393059533017782e-05,0.0,0.09988733896605255,0.0,1.2863241934994296e-05,1.4046831203618025e-05,0.09982390239433105,0.02143938788988237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06495624343699567,5.327706268066575e-06,1.6747459522104511e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.399995543972678e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-02,0.013575213186461193,0.0,0.0,0.0,0.0,1.0200429342116016e-06,0.0,1.0709994260975202e-06,1.0545198023751037e-06,1.2453736828438708e-06,1.3357576153634969e-06,0.0,1.0848932505987276e-06,1.0070403764779735e-06,1.0124083287547595e-06,0.0,0.0,0.0,0.0,1.0596991321786897e-06,0.0,9.354746907375745e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.691387427100543e-07,9.665093977340318e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.926141368914768e-06,9.82250676464911e-07,0.025261383670745277,0.0,0.0,0.0,0.0,9.691421536046872e-07,0.0,0.0,9.575860425883884e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000330371273077,1.0415962637004715e-06,0.0,0.0,0.0,0.0,0.09140857538179187,0.0,0.0,0.10000369862702094,0.09616157004674195,8.649682583254257e-07,0.0,0.0,9.496061977464519e-07,0.0,0.0,0.0,0.0,0.0,1.081337392943919e-06,0.0,1.627945679209018e-07,0.05257086736244348,0.0,0.10000279703024527,0.0,3.012257010158402e-06,0.0,1.093255172487794e-06,0.0,1.0498641585941573e-06,0.0,9.728992540428375e-07,0.0,0.0,0.0,0.0,0.04633439579450157,1.0273316749526669e-06,0.0,1.8399682255244286e-06,0.0,1.0066369813393881e-06,0.0,0.0,1.0457517566317457e-06,0.06632950612846758,1.0787752425921649e-06,0.0,0.0,0.0,0.027175861088573255,0.0,0.038010843184681724,0.0,3.6383274022079403e-06,2.9621357326715955e-06,0.03555685696238357,0.10000381039521626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09112338020337178,1.0641148763704548e-06,0.01643247861694847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.700098851992994e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2.5873449002919223e-06,0.0,0.0,0.0,0.0,3.5491701058683004e-06,0.0,3.4626888150683434e-06,3.4507230333815408e-06,3.428821168228148e-06,3.4367978253792924e-06,0.0,3.4619494818567006e-06,3.447464600205159e-06,3.4607921558911362e-06,0.0,0.0,0.0,0.0,0.07552013153158288,0.0,0.0839997539655471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.457044320970228e-06,3.5491212111772815e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.60795524894744e-06,3.5343420517109545e-06,0.07539592149981438,0.0,0.0,0.0,0.0,3.455414194713367e-06,0.0,0.0,0.007789926726944572,0.0,0.0,3.4532621460570224e-06,3.456019579213334e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.10004380310384071,3.4495356883498623e-06,0.0,0.0,0.0,0.0,0.10002395841254004,0.0,0.0,0.09641404288522054,0.01637653714164874,3.248459341665451e-06,0.0,0.0,0.059425941572629655,0.0,0.0,0.0,0.0,0.0,3.451670453301474e-06,0.0,3.5694557172120514e-06,3.4870053957065784e-06,0.0,0.027905522189734588,0.0,2.488223308486266e-06,0.0,3.4540192178077328e-06,0.0,3.44539123788878e-06,0.0,3.4957673243372065e-06,0.0,3.4648342686268294e-06,3.4549063721782703e-06,0.0,0.04534196369759151,3.4628839389980846e-06,0.0,3.502965305106725e-06,0.0,0.022696702446626867,0.0,0.0,3.4597430804973164e-06,0.06490679864848378,3.4612124228167333e-06,0.0,0.0,0.0,3.4820829511153733e-06,0.0,3.499329814266577e-06,0.0,3.5278668026998493e-06,0.05317083227781105,0.04225389722862841,0.03942156869284455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08918213212926782,3.455396683591467e-06,3.4752336008636794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4309554783454255e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-03,1.2403134542365815e-06,0.0,0.0,0.0,0.0,1.2530325952338636e-06,0.0,1.2348790909880758e-06,1.2052475593969232e-06,1.2089245120813318e-06,1.2108196094017933e-06,0.0,1.2077234196831224e-06,1.2180929037794772e-06,1.1938626496844753e-06,0.0,0.0,0.0,0.0,0.10000288783299478,0.0,0.10000376707810896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2114149255506974e-06,1.2067591576015988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.507189650750669e-06,1.244622901905015e-06,0.10000255252765462,0.0,0.0,0.0,0.0,1.236776007456433e-06,0.0,0.0,1.2453241834188503e-06,0.0,0.0,1.2367830566545294e-06,1.2530850094326118e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.10210443268049656,1.2060279738442262e-06,0.0,0.0,0.0,0.0,0.10208438887238502,0.0,0.0,1.5052204995464651e-06,8.816125077795899e-07,1.2215479204205968e-06,0.0,0.0,1.2491165382978995e-06,0.0,0.0,0.0,0.0,0.0,1.224456510512512e-06,0.0,1.2446211964538626e-06,1.2064472874342108e-06,0.0,8.765084335709173e-07,0.0,1.2441647040287576e-06,0.0,1.2187780403557372e-06,0.0,1.1965195151863075e-06,0.0,1.255005233733384e-06,0.0,1.2473516237487319e-06,0.1000041098346789,0.0,1.2631109019701452e-06,1.2133784683107386e-06,0.0,1.2431647411697788e-06,0.0,0.10000409493221935,0.0,0.0,1.2430459280728336e-06,0.09572656745170115,1.226904856186787e-06,0.0,0.0,0.0,1.241606527300273e-06,0.0,1.236664470951071e-06,0.0,1.2442431547817643e-06,1.2492827629368792e-06,0.10000276861331828,8.757039722623665e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000381178548765,1.2499610777085298e-06,1.234881706013176e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2042137149083848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08,1.8774939504046896e-06,0.0,0.0,0.0,0.0,1.6945957188035335e-06,0.0,1.7310540027532245e-06,1.7810288302759014e-06,1.927067533964807e-06,1.7788991332901545e-06,0.0,1.735993771865539e-06,1.7435063231781353e-06,1.7385083401500287e-06,0.0,0.0,0.0,0.0,1.6839159666348715e-06,0.0,0.10003744558891439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055387620866197435,0.10003304182261255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0141046049476239e-05,1.7239789654015035e-06,0.10004789242538678,0.0,0.0,0.0,0.0,1.736873916244732e-06,0.0,0.0,0.07532623630849739,0.0,0.0,1.458427092591351e-06,0.019180347055025915,0.0,0.0,0.0,0.0,0.0,0.0,0.1013793871872187,1.7364676695237844e-06,0.0,0.0,0.0,0.0,0.10135949199935758,0.0,0.0,0.10003392853697789,2.3423053487271074e-06,0.10003572431985225,0.0,0.0,1.4276485311992383e-06,0.0,0.0,0.0,0.0,0.0,1.7251591615849455e-06,0.0,1.7991816801853241e-06,1.692614853879841e-06,0.0,0.00014753251642856852,0.0,1.4528454923176176e-06,0.0,1.7118735407912057e-06,0.0,1.807212244389227e-06,0.0,1.705632258604531e-06,0.0,1.995764957357911e-06,1.646298407127726e-06,0.0,1.7121316376444248e-06,1.7133815313481413e-06,0.0,2.0035242356182984e-06,0.0,3.520363944469044e-05,0.0,0.0,1.4410818470644899e-06,0.09504723323080391,1.8252800474060471e-06,0.0,0.0,0.0,1.5843010416053227e-06,0.0,1.473307342621389e-06,0.0,1.8210760248739884e-06,1.7107542873008586e-06,1.2419609206993939e-06,0.0024282931364779593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09929382009716305,1.6884655205928916e-06,1.9202617359736244e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7291293051623472e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
