,600000.SH,600005.SH,600009.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600068.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600123.SH,600150.SH,600177.SH,600183.SH,600188.SH,600196.SH,600256.SH,600276.SH,600309.SH,600320.SH,600332.SH,600340.SH,600346.SH,600348.SH,600362.SH,600372.SH,600383.SH,600406.SH,600436.SH,600438.SH,600485.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600550.SH,600570.SH,600583.SH,600585.SH,600588.SH,600598.SH,600606.SH,600637.SH,600642.SH,600690.SH,600703.SH,600739.SH,600745.SH,600760.SH,600795.SH,600809.SH,600832.SH,600837.SH,600887.SH,600893.SH,600900.SH,600905.SH,600918.SH,600919.SH,600930.SH,600941.SH,600958.SH,600999.SH,601006.SH,601012.SH,601066.SH,601088.SH,601111.SH,601117.SH,601118.SH,601127.SH,601138.SH,601166.SH,601168.SH,601169.SH,601186.SH,601198.SH,601211.SH,601225.SH,601229.SH,601236.SH,601288.SH,601299.SH,601318.SH,601319.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601600.SH,601601.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601699.SH,601727.SH,601728.SH,601766.SH,601788.SH,601800.SH,601816.SH,601818.SH,601857.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601995.SH,601998.SH,603019.SH,603160.SH,603259.SH,603260.SH,603288.SH,603501.SH,603799.SH,603986.SH,603993.SH,688008.SH,688012.SH,688041.SH,688111.SH,688256.SH,688599.SH,688981.SH
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10005268038107495,0.0,0.0031536594591337476,0.0,0.0,0.0,0.10005237477082773,0.0,0.0,0.0,0.0,6.384539659353673e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017000254829235874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014349490076236032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10006131946099016,3.7641046365322313e-07,1.3847880161142736e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027683972118905604,0.10004890124948133,0.0,0.0,0.0,0.0,0.10005718999569851,0.0,0.0,0.0,0.10006137909225792,0.0,0.07380489706441247,0.0,0.0,0.0,6.387457256705338e-06,0.0,0.0,0.0,0.10006126728363088,0.0,0.05714665271266096,0.0,2.1085696256509137e-06,0.0,0.0,0.10005353758054886,0.0,0.060800219491175145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3947054358724538e-05,0.0,0.0,0.0,0.0,1.8030844898135346e-06,0.0,1.6119586608056094e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,0.09998630040814792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997171117063354,0.0,0.0,0.0,7.110012919982981e-06,0.0,5.8424728379859555e-05,0.0,0.0,0.0,0.0,0.09996905248875879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999663789123077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.255713004113704e-05,0.09995961677465427,0.0,0.0,0.0,0.0,0.08657861984479907,0.0,0.0,0.0,0.09991785982991555,0.0,0.010447514776387444,0.0,0.0,0.0,1.0658148456641002e-05,0.0,0.0,0.0,0.09999841714599167,0.0,0.08392751930940026,0.0,0.0,0.0,0.0,0.0999612104943215,0.0,1.908594865368623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6560089969243515e-06,0.0,0.0,0.0,0.0,0.019122306867234064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.10015511657121691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10015029803971706,0.0,0.0012446432128155576,1.1861825271174498e-05,1.8489968460799394e-05,1.3154508719454723e-05,0.10016482822448748,0.0,0.0,0.0,0.0,0.09920184545014717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1362138745608199e-05,0.0,1.0247749900542989e-05,3.79123444446153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1222266508741356e-05,1.1956000040808723e-05,0.0,0.0,0.0,1.0667172669154987e-05,1.1797864478092037e-05,0.0,0.0,1.1530464002191949e-05,0.0,1.0039444368022422e-05,1.2825468380654208e-05,0.0,0.0,0.0,0.0,1.250087869180653e-05,0.0,0.0,0.0,0.0,0.0,1.0245974375295847e-05,0.0,0.0008627087422297157,0.10016100920261764,1.1508339136561013e-05,1.171470160709317e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96798994787125e-06,1.1325709520165666e-05,9.836061137802393e-06,0.0,0.0,0.0,0.0,0.10016711814580397,0.0005918594059633087,0.0,0.0,0.0,0.0,1.986179571933957e-05,0.0,0.0,0.0,0.10014537508183798,0.0,2.9673634140142095e-05,0.0,0.0,0.0,2.0873815973386432e-05,0.0,0.0,0.0,0.10014897779192221,0.0,0.004055452050066787,0.0,1.1370706793082873e-05,1.0886587526568062e-05,0.0,1.921637134991048e-05,0.0,2.269912148530457e-05,0.0,0.0,0.10016601420979472,0.0,0.0,0.0,0.0,0.0,0.002327949301346637,0.0,0.0,1.0340292097475611e-05,0.0,0.08998355460835504,0.0,1.067805527313132e-05,0.0,0.0,0.0,0.0,0.0,1.2728597544221629e-05,0.0,0.0,0.0,1.2047055349162584e-05,0.0,9.808630638522689e-06,1.2430369397402301e-05,0.0,1.0468057983734244e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.09991341844903943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0998326585525195,0.0,5.576348317121916e-06,6.9346131384312995e-06,9.069613983475282e-06,9.533694834903988e-06,0.0998297750688076,0.0,0.0,0.0,0.0,0.0007588276578984253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.967815901119177e-06,0.0,5.213269306835334e-06,1.5088056195806147e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003651798744698e-05,0.00013310913118355145,0.0,0.0,0.0,6.5554363727822e-06,0.09992175596395832,0.0,0.0,1.251432898700865e-05,0.0,0.00013780359645696933,1.487841337869565e-05,0.0,0.0,0.0,0.0,1.2881705067480565e-05,0.0,0.0,0.0,0.0,0.0,1.5907329076018183e-05,0.0,2.734440771604316e-06,1.2568058281084386e-06,1.174777877955208e-05,8.120216595426387e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816396537195746e-06,5.419628269166669e-06,9.465835779034051e-06,0.0,0.0,0.0,0.0,4.773129989640625e-06,5.205786156248006e-06,0.0,0.0,0.0,0.0,0.09991597409480993,0.0,0.0,0.0,0.09983924511479679,0.0,7.362641621029161e-06,0.0,0.0,0.0,1.8116307833884547e-05,0.0,0.0,0.0,0.09983879061219621,0.0,1.4257847137816897e-05,0.0,1.1970606130350076e-05,1.6819704991990922e-05,0.0,0.09981857642276373,0.0,0.09989602813642041,0.0,0.0,0.09981581215284871,0.0,0.0,0.0,0.0,0.0,4.815912873736888e-06,0.0,0.0,1.2919781593301029e-05,0.0,3.610511014894666e-06,0.0,1.0911494976771246e-05,0.0,0.0,0.0,0.0,0.0,6.487892468741922e-06,0.0,0.0,0.0,6.566457591529322e-06,0.0,1.4847763157894393e-05,1.5132516706308769e-05,0.0,1.470844694907479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,0.0999695479353965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999071647077402,0.0,7.334991090555705e-06,0.0,0.0,0.0,0.09999061219227463,0.0,0.0,0.0,0.0,4.007192442702841e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65533824491523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0083337368967106e-06,1.4961501314821466e-06,0.0,0.0,0.0,8.879349501998041e-06,0.0,0.0,0.0,0.0,0.0,0.09999199015815952,0.0,0.0,0.0,0.0,0.0,6.611288139480262e-05,0.0,0.0,0.0,0.0,0.0,4.0808791733978504e-06,0.0,7.636015835767772e-07,0.09997467992725967,0.0,0.09998593455673027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3243160299016167e-05,0.0,0.0,0.0,0.0,0.0,0.00025749422354315164,0.0,0.0,0.0,0.0,3.905125547091822e-07,0.0,0.0,0.0,0.09999349474793652,0.0,1.0266561411404625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09998483218402236,0.0,0.0,0.0,4.389813138376823e-06,0.0,0.0,0.012873557829022513,0.0,0.0,0.0,0.0,0.09997137280913594,0.0,0.0,0.0,0.0,0.0,0.08687751640849961,0.0,0.0,2.1184275168115048e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.109838223059576e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.10000141033348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000039705293284,0.0,0.00040146361211897683,2.4207795617282624e-08,6.941368263489037e-08,7.98348314125215e-08,0.007675376209235271,0.0,0.0,0.0,0.0,0.03998535821955915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.408849885719494e-08,0.0,3.0611447741272124e-08,5.474659380237282e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.090151172360891e-08,3.9157723535660393e-08,0.0,0.0,0.0,5.664792743867662e-08,1.916149008532861e-08,0.0,0.0,6.761354110131676e-08,0.0,4.99309396866847e-08,4.298572169660372e-08,0.0,0.0,0.0,0.0,6.120530952219897e-08,0.0,0.0,0.0,0.0,0.0,7.469447296719362e-08,0.0,0.01599002348280858,4.103357706941949e-08,1.9591747480592283e-08,0.1000004790094482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7842374305267976e-08,2.352523653457243e-08,4.085570307414535e-08,0.0,0.0,0.0,0.0,3.6445623836650444e-08,4.16785199605871e-08,0.0,0.0,0.0,0.0,0.10000065782366352,0.0,0.0,0.0,0.10000027784345596,0.0,0.035838742248069905,0.0,0.0,0.0,7.844208019668382e-08,0.0,0.0,0.0,0.10000030019523287,0.0,6.849264727174044e-08,0.0,5.8746103038392614e-08,2.4364431456810477e-08,0.0,5.605120560604768e-08,0.0,0.10000085898965576,0.0,0.0,0.10000027784345596,0.0,0.0,0.0,0.0,0.0,0.10010267878409662,0.0,0.0,4.534221551383588e-08,0.0,7.689558860751656e-08,0.0,1.873748192324622e-08,0.0,0.0,0.0,0.0,0.0,1.955313119857754e-08,0.0,0.0,0.0,8.157997685192442e-08,0.0,7.364625025447583e-08,4.1892830644608936e-08,0.0,6.843456741725062e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.10024361137606325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999836737675845,0.0,1.574461819374725e-07,1.856709513023338e-07,4.05886313643428e-07,3.375221903471238e-07,0.099998404629766,0.0,0.0,0.0,0.0,2.755487063541594e-07,0.0,1.6319708939843194e-07,0.0,0.0,0.0,0.0,0.0,1.973491944807592e-07,0.0,2.6994842016510593e-07,2.9147835181673793e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.012731825006347e-07,1.0848041294580509e-07,0.0,0.0,0.0,1.8064948906138865e-07,3.3200680004243355e-07,0.0,0.0,5.598177860730096e-07,0.0,0.0011849555385544876,4.988325845343736e-07,0.0,0.0,0.0,0.0,2.2543890350330574e-07,0.0,0.0,0.0,0.0,0.0,4.217457288648744e-07,0.0,0.0010834585553273473,0.09999835992615694,4.2685698974882115e-07,0.09980888367915486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.148733781197543e-07,4.1092777061308075e-07,4.4469296987892423e-07,0.0,0.0,0.0,0.0,3.0271226295358555e-07,0.09999804700089351,0.0,0.0,0.0,0.0,0.05503096231939442,0.0,0.0,0.0,0.0999981066057056,0.0,0.09999849403698412,0.0,0.0,0.0,5.577429954608513e-07,0.0,0.0,0.0,0.09999779368044218,0.0,2.12578427580999e-07,0.0,2.0996042552260944e-07,5.613330084992478e-07,0.0,0.04264821907232325,0.0,8.644723798901513e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0246885875081124e-07,0.0,0.0,5.067300334143461e-07,0.0,2.1348812378816822e-07,0.0,4.222116188335662e-07,0.0,0.0,0.0,0.0,0.0,4.187107933697033e-07,0.0,0.0,0.0,5.826590138133149e-07,0.0,2.929656924677634e-07,6.29553829134367e-07,0.0,5.269967586446443e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.1034156558937059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999518470880078,0.0,0.001226599000369108,0.0,0.0,0.0,0.10317123788083615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002218015026226143,0.07833567146607383,0.0,0.09995143742807461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00961320568349964,0.0,0.0,0.0,0.09994264836041694,0.0,0.002365690914826281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09994096503050963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09995687473264249,0.0,0.0,0.09995206309051805,0.0,0.0,0.0,0.0,0.0,0.09994954554401948,0.0,0.0,0.0,0.0,3.495931908940385e-06,0.0,5.0469283649797544e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.1026055726609655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997482967467498,0.0,0.0006695295029302252,0.0,0.0,5.80952683410627e-05,0.10238911172632247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646742252602262e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008887990903228763,0.0,0.0,0.09974732048458877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07735511242190005,0.0,0.0,0.0,0.09998201401867947,0.0,0.040559969736325266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997503068740879,0.0,0.0010969983783411874,0.0,0.0,0.0,0.0,0.06930042794953423,0.0,0.099953663778297,0.0,0.0,0.09994107442522798,0.0,0.0,0.0,0.0,0.0,0.005297705023938906,0.0,0.0,0.0,0.0,0.0002030984299486568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-10,0.1027580606642968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997241299325482,0.0,0.0,0.0,0.0,0.0,0.10254122525503179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018494036328312988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997451298588525,0.0,0.09767987635767925,0.08404711888042206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005189455059748398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999048633408476,0.0,0.09997469915544469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000193203859882,0.0,0.0010580194087326364,0.0,0.0,0.0,0.0,0.0037564763119528975,0.0,0.0003999367780044468,0.0,0.0,0.09999248207176191,0.0,0.0,0.0,0.0,0.0,0.0008139020722701737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
