,600000.SH,600005.SH,600009.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600068.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600123.SH,600150.SH,600177.SH,600183.SH,600188.SH,600196.SH,600256.SH,600276.SH,600309.SH,600320.SH,600332.SH,600340.SH,600346.SH,600348.SH,600362.SH,600372.SH,600383.SH,600406.SH,600436.SH,600438.SH,600485.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600550.SH,600570.SH,600583.SH,600585.SH,600588.SH,600598.SH,600606.SH,600637.SH,600642.SH,600690.SH,600703.SH,600739.SH,600745.SH,600760.SH,600795.SH,600809.SH,600832.SH,600837.SH,600887.SH,600893.SH,600900.SH,600905.SH,600918.SH,600919.SH,600930.SH,600941.SH,600958.SH,600999.SH,601006.SH,601012.SH,601066.SH,601088.SH,601111.SH,601117.SH,601118.SH,601127.SH,601138.SH,601166.SH,601168.SH,601169.SH,601186.SH,601198.SH,601211.SH,601225.SH,601229.SH,601236.SH,601288.SH,601299.SH,601318.SH,601319.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601600.SH,601601.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601699.SH,601727.SH,601728.SH,601766.SH,601788.SH,601800.SH,601816.SH,601818.SH,601857.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601995.SH,601998.SH,603019.SH,603160.SH,603259.SH,603260.SH,603288.SH,603501.SH,603799.SH,603986.SH,603993.SH,688008.SH,688012.SH,688041.SH,688111.SH,688256.SH,688599.SH,688981.SH
2020-01-02,0.011126371790117022,0.0,0.0,0.0,0.0,1.722733847751027e-06,0.0,0.0,3.7293521080172064e-06,0.0,1.6138306536163576e-05,0.0002769603793704631,8.157806889684065e-05,1.5849003203128816e-05,2.494670667103929e-06,0.0,0.0,0.0,0.0,0.0010431628473881174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007179077401072393,0.0,0.00247894983607923,0.0736143433289774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08678413462976639,0.0,0.0,0.0,0.0,0.0,0.08759638579441134,0.0,0.0,0.0,0.0,0.0,0.018856816778627553,1.308947838773679e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.005640157271347647,3.077032971106937e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0856182475157725,2.144944743621109e-06,0.07661211937923336,0.0,0.0,0.0,0.00013649087914178426,1.6143892217199615e-05,0.0,0.0,0.08807090221509474,0.0,0.08085824069293929,0.0,0.0,0.0,4.313694607838791e-06,0.0,1.9523044965670303e-06,0.04155193330916101,4.730154085924921e-06,0.0,0.08351915421725073,0.0,0.0,0.0006914805359373673,5.0883338348239265e-06,0.0,0.08488455561149896,0.0,0.08192490368892753,0.0,0.0,5.069039210815026e-06,0.0,2.0573668069762534e-06,0.0,0.0,0.0,1.6220191637334142e-05,0.0,0.0,0.0,0.0001229221260247339,5.283185194373496e-06,0.0,0.0,0.009042665311998228,0.0,0.0,0.0,0.0,3.7277534365997965e-06,0.0,0.0,3.4961110215588545e-06,1.6228057819620803e-05,0.0,0.0,0.0,0.0,0.07214388812023362,0.0,0.0,0.0,0.0,0.0,2.002663897488079e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.034479064666311114,0.0,0.06741857420724029,0.0,0.0,5.924440802631937e-07,0.0,0.0,7.190337260514235e-07,0.0,1.6012257702231084e-05,1.1730956341502979e-05,2.6453805490812314e-05,8.606155452153317e-06,6.372915886916112e-07,0.0,0.0,0.0,0.0,5.0785006706387916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010455963945241224,0.0,0.0022388739350180857,0.013452215289093584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08637813590248443,2.7958300951720136e-07,0.0,0.0,0.0,0.0,0.08171524781966824,0.0,0.0,0.0,0.0,0.0,0.021734851297801117,1.649880675447856e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0012958471581462072,2.3475800339360507e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007073550815494477,0.09687404816457934,5.551234478596239e-07,0.07756869857679694,0.0,0.0,0.0,0.0001553328188337095,1.3521530952800595e-06,0.0,0.0,0.08626561235774895,0.0,0.0794090962461082,0.0,0.0,1.7352524305966247e-05,8.437649281398931e-07,0.0,5.190349004815825e-07,0.0009111389790828784,7.065164424405912e-07,0.0,0.080281585812988,0.0,0.0,0.0006567091845802736,8.389794796627359e-07,0.0,0.08143030339838625,0.0,0.07783662738789779,0.0,0.0,8.440417309296851e-07,0.0,4.782941337309573e-07,0.0,0.0,0.0,1.3094912489622512e-06,0.0,0.0,0.0,2.8590427468560253e-05,7.733876199010106e-07,0.0,0.0,0.008605079586664979,0.0,0.0,0.0,0.0,7.159382523892332e-07,0.0,0.0,7.679072088549032e-07,1.632697849553983e-05,0.0,0.0,0.0,0.0,0.08355429705402206,0.0,0.0,0.0,0.0,0.0,2.507912167153357e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.08698626094848098,0.0,0.07970027236122625,0.0,0.0,4.556455362008298e-06,0.0,0.0,5.966646338714659e-06,0.0,3.9650794107086735e-06,6.2430878055395694e-06,7.0634921444133865e-06,2.772493489007137e-06,5.055956087703757e-06,0.0,0.0,0.0,0.0,1.189522096191963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021140270725257698,0.0,0.00028598557188147186,0.0003568502243378926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08714272765130962,5.085334072212074e-06,0.0,0.0,0.0,0.0,0.004752493666867098,0.0,0.0,0.0,0.0,0.0,0.08382178089479446,8.616863130641092e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.977682000598463e-06,2.8286705162825786e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011148678841592594,0.06850044936317924,3.330634064305207e-06,0.07761720932169791,0.0,0.0,0.0,7.004055820160773e-06,3.839830874691384e-06,0.0,0.0,0.052457962180193406,0.0,0.08265073414181037,0.0,0.0,0.00011270682851203966,6.810888561678229e-06,0.0,4.474670027248476e-06,0.0008808731378736404,5.181179172890576e-06,0.0,0.07469601105142247,0.0,0.0,0.0011207403215221115,7.0146156424105945e-06,0.0,0.08199328805639425,0.0,0.07167479561308944,0.0,0.0,6.382009345748204e-06,0.0,3.518543681139501e-06,0.0,0.0,0.0,2.9800391032683594e-06,0.0,0.0,0.0,7.726542179110061e-06,5.4685504079653675e-06,0.0,0.0,0.05870183099900347,0.0,0.0,0.0,0.0,5.61589117378958e-06,0.0,0.0,5.786595801986026e-06,3.57256874980281e-06,0.0,0.0,0.0,0.0,0.08416889229340768,0.0,0.0,0.0,0.0,0.0,3.887916128554002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.06611426710282328,0.0,0.07924348000348477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.508999779886474e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021566406177954533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004883844617713065,0.0,0.0005097961979683564,0.002894816313900151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08652487030805785,0.0,0.0,0.0,0.0,0.0,0.0048468668309479485,0.0,0.0,0.0,0.0,0.0,0.0819795505887334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.752181205160303e-06,2.6295995134514665e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.157196847812508e-05,0.026897069692706423,0.0010544054438729868,0.08033449207116239,0.0,0.0,0.0,3.964675411463523e-06,0.0,0.0,0.0,0.0019999275696469692,0.0,0.07779792888399159,0.0,0.0,0.0013846359126396541,0.0,0.0,0.0,0.08004674115955726,0.0,0.0,0.06816417562228357,0.0,0.0,0.0019880335870788093,0.0,0.0,0.08120090461087058,0.0,0.06851638953464971,0.0,0.0,0.0,0.0,2.297402068395123e-06,0.0,0.0,0.0,2.4002026096075763e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08364111610592125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08270261679091116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,0.01241496126982968,0.0,0.08000625955870633,0.0,0.0,2.050889982042298e-06,0.0,0.0,2.377612433966415e-06,0.0,1.9817671259722052e-06,9.478991396943177e-06,2.050405465417234e-06,1.9991540198413964e-06,2.1042900348949314e-06,0.0,0.0,0.0,0.0,0.08212720293794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8844177573299485e-06,0.0,2.4064317829481255e-05,0.023126929307342885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08576650002858688,2.03094044768456e-06,0.0,0.0,0.0,0.0,0.002820384234349245,0.0,0.0,0.0,0.0,0.0,0.07721433998625159,1.9938397978434548e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.308024914350657e-06,4.407628412107329e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7034577325270614e-06,0.027230033290068806,0.0012447419538292835,0.0832619469090383,0.0,0.0,0.0,8.552315495094915e-06,2.0458317739907765e-06,0.0,0.0,3.646333427061315e-06,0.0,0.07409299688104687,0.0,0.0,0.001324966345841123,2.3401893793508658e-06,0.0,2.1072996766433916e-06,0.07874709517425257,1.9896203424103564e-06,0.0,0.0672258319504554,0.0,0.0,6.500954229119989e-05,2.4204272423345506e-06,0.0,0.08434041113148469,0.0,0.06867103837933423,0.0,0.0,2.1712824729561797e-06,0.0,4.551186299952812e-06,0.0,0.0,0.0,4.174592058426994e-06,0.0,0.0,0.0,1.956734145953663e-06,2.220009702872019e-06,0.0,0.0,0.08322459098373507,0.0,0.0,0.0,0.0,2.1224063184089865e-06,0.0,0.0,2.1014572837773017e-06,1.797828267493451e-06,0.0,0.0,0.0,0.0,0.06698133466272571,0.0,0.0,0.0,0.0,0.0,1.7922216530131854e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.011798948807531942,0.0,0.07931362325019105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.880320846110911e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08130953567164742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.062229671795546e-06,0.08248458570151028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08396106662956412,0.0,0.0,0.0,0.0,0.0,0.0048487488803003525,0.0,0.0,0.0,0.0,0.0,0.013385188117968138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5036321771850225e-06,0.02602483059133502,0.014544036181174749,0.06392423406886043,0.0,0.0,0.0,8.910772437551966e-05,0.0,0.0,0.0,0.0,0.0,0.07467371229056366,0.0,0.0,0.006645384189826247,0.0,0.0,0.0,0.07986696925861075,0.0,0.0,0.0692205682151287,0.0,0.0,3.866833345310428e-05,0.0,0.0,0.08108131303895706,0.0,0.06946184406185905,0.0,0.0,0.0,0.0,2.669246642166568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08385049428392043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07342800205410523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0038781924991055866,0.0,0.08072670040585304,0.0,0.0,7.703748338913041e-08,0.0,0.0,1.2265819430729707e-07,0.0,6.360581923493797e-08,8.337450019677474e-06,7.3722852623438935e-06,4.1180126628325225e-08,8.155582159110645e-08,0.0,0.0,0.0,0.0,0.07297042250377096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50568491838893e-08,0.0,3.8213845069668575e-05,0.08013529881814366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08277694125099348,1.0176797716148967e-08,0.0,0.0,0.0,0.0,0.001980974561109877,0.0,0.0,0.0,0.0,0.0,0.00035106003437648385,1.0836841819837936e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.9803269889297934e-08,4.133359175604045e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008742999123975792,0.027504720291983496,0.012697575026934181,0.05727045778640553,0.0,0.0,0.0,0.002903041733462896,5.767183192827212e-08,0.0,0.0,3.158463594499789e-08,0.0,0.0846936602300082,0.0,0.0,0.005467466925967876,1.0880242371830522e-07,0.0,4.137755769091403e-08,0.08832650248189791,6.485755526310331e-08,0.0,0.07169850789878351,0.0,0.0,7.5533772136836e-05,1.1588020741470729e-07,0.0,0.08144305616936093,0.0,0.0725040346931841,0.0,0.0,8.797277341345286e-08,0.0,1.9329701763555704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.502459455348433e-08,1.1051756411045318e-07,0.0,0.0,0.08600345147640748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.821836304946874e-08,0.0,0.0,0.0,0.0,0.0,0.0856376036492693,0.0,0.0,0.0,0.0,0.0,5.999444029234683e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0003451505297771287,0.0,0.08358067907820377,0.0,0.0,6.572238944034318e-07,0.0,0.0,7.441112005097719e-07,0.0,6.463221673076257e-07,1.2745841568842043e-06,1.2501550885925875e-06,5.851497925921924e-07,6.886723166058318e-07,0.0,0.0,0.0,0.0,0.01456585133327791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.879292259551243e-07,0.0,1.3951753894552107e-06,0.07962648196993091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08312020793733366,5.614416739353528e-07,0.0,0.0,0.0,0.0,8.443165490217902e-06,1.9105355634563903e-05,0.0,0.0,0.0,0.0,4.031947900318996e-05,6.69560870046781e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.557991331684583e-07,6.190984883643845e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010508162678576594,0.041277076975992796,0.013914295807635039,0.04964207173234265,0.0,0.0,0.0,0.0024364327757930462,6.336514050005998e-07,0.0,0.0,5.78061544022626e-07,0.0,0.07257660867664427,0.0,0.0,0.014797509042266333,7.266462908206224e-07,0.0,5.939297119912921e-07,0.08260279164930774,6.634250389754951e-07,0.0,0.06850352935353193,0.0,0.0,6.594097241102823e-05,7.313331739938975e-07,0.0,0.07625494629604579,0.0,0.07121715225372882,0.0,0.0001295427242269887,7.971829958154789e-07,0.0,1.243157164786063e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.090732923233971e-07,6.338417748127002e-07,7.032738915159072e-07,0.0,0.0,0.08649724217442707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.502655338663077e-07,5.895945781155018e-07,0.0,0.0,0.0,0.07561141323372883,0.0820953293998269,0.0,0.0,0.0,0.0,0.0,1.6731557878915767e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0004238348247591459,0.0,0.06422113537761498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75695969699288e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.003916776053623654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08176227634225094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08638553926640347,0.0,0.0,0.0,0.0,0.0,7.1428270370423484e-06,0.0010458602086075254,0.0,0.0,0.0,0.0,0.00014232527972066634,1.5864536217156963e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.203452584379365e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005623668855817912,0.06605324096055558,0.019996576893649143,0.05502475697650659,0.0,0.0,0.0,0.01725556140906006,0.0,0.0,0.0,0.0,0.0,0.08856367900672253,0.0,0.0,0.07706779696168564,0.0,0.0,0.0,0.08216024320340039,0.0,0.0,0.07056651866235406,0.0,0.0,6.202587334025861e-05,0.0,0.0,0.07677748964417967,0.0,0.07366719998682789,0.0,0.00219572279381566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047844961913366194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08310560923695183,0.0011736731885332247,0.0,0.0,0.0,0.0,0.0,7.25646006786963e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-09,0.0,0.0,0.003518081540685631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004410370216042838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08242755086671585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0895147510114321,0.0,0.0,0.0,0.0,0.0,0.00013961996211751484,0.033541270182683804,0.0,0.0,0.0,0.0,0.0011034606673269373,1.1224617882800408e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.003135440735711459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79306493422789e-05,0.06585780361859267,0.021285328767756285,0.05704903238509525,0.0,0.0,0.0,0.04247661240173103,0.0,0.0,0.0,3.1871950310703e-05,0.0,0.08241743800594153,0.0,0.0,0.07358610846031155,0.0,0.0,0.0,0.07502091250222766,0.0,0.0,0.07609856189962692,0.0,0.0,0.00015187296194381762,0.0,0.0,0.07950311572561268,0.0,0.07774584780329502,0.0,0.006262349443803904,0.0,0.0,0.0003359790956223151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046702346172560485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08149519279846631,3.9087114276545595e-06,0.0,0.0,0.0,0.0,0.0,9.535004017155513e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
