,600000.SH,600005.SH,600009.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600068.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600123.SH,600150.SH,600177.SH,600183.SH,600188.SH,600196.SH,600256.SH,600276.SH,600309.SH,600320.SH,600332.SH,600340.SH,600346.SH,600348.SH,600362.SH,600372.SH,600383.SH,600406.SH,600436.SH,600438.SH,600485.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600550.SH,600570.SH,600583.SH,600585.SH,600588.SH,600598.SH,600606.SH,600637.SH,600642.SH,600690.SH,600703.SH,600739.SH,600745.SH,600760.SH,600795.SH,600809.SH,600832.SH,600837.SH,600887.SH,600893.SH,600900.SH,600905.SH,600918.SH,600919.SH,600930.SH,600941.SH,600958.SH,600999.SH,601006.SH,601012.SH,601066.SH,601088.SH,601111.SH,601117.SH,601118.SH,601127.SH,601138.SH,601166.SH,601168.SH,601169.SH,601186.SH,601198.SH,601211.SH,601225.SH,601229.SH,601236.SH,601288.SH,601299.SH,601318.SH,601319.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601600.SH,601601.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601699.SH,601727.SH,601728.SH,601766.SH,601788.SH,601800.SH,601816.SH,601818.SH,601857.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601995.SH,601998.SH,603019.SH,603160.SH,603259.SH,603260.SH,603288.SH,603501.SH,603799.SH,603986.SH,603993.SH,688008.SH,688012.SH,688041.SH,688111.SH,688256.SH,688599.SH,688981.SH
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2612127416590124e-06,0.0,1.861649570266563e-06,1.0344433869258723e-06,1.860617864487554e-06,9.60345693399576e-07,0.10000063789946446,0.0,0.0,0.0,0.0,1.9232844672118624e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875696256387494e-06,0.0,2.246837770011354e-06,1.9249874128468714e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2251142968468126e-06,0.0,0.0,0.0,1.0412660857840825e-06,0.10001234531593806,0.0,0.0,5.879882042717113e-07,0.0,1.0329158983631666e-06,0.0,0.0,0.0,0.0,0.0,1.0283579943909394e-06,0.0,0.0,0.0,0.0,0.0,8.787814656661496e-07,0.0,0.10000490801381161,1.9141179438725617e-06,1.9195028726580517e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1007126172156376e-06,1.0369693774664769e-06,1.929089446823723e-06,0.0,0.0,0.0,0.0,0.1000134109814732,2.0220505381531986e-06,0.0,0.0,0.0,0.0,0.10001079525697784,0.0,0.0,0.0,0.1000127477350912,0.0,0.10001423072419256,0.0,0.0,0.0,0.0998596048907039,0.0,0.0,0.0,0.10001034067237892,0.0,0.1000117864004476,0.0,0.0,0.0,0.0,2.021997775948695e-06,0.0,1.936301039516851e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8604455913413845e-06,0.0,0.0,1.0236849005196559e-06,0.0,1.8836864327319914e-06,0.0,1.869924935423334e-06,0.0,0.0,0.0,0.0,0.0,1.039483314572432e-06,0.0,0.0,0.0,1.0198431525042455e-06,0.0,9.536193083069141e-07,9.305932113628692e-07,0.0,9.865879537295573e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,0.10000627180826953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46914632973084e-07,0.0,5.335954391241683e-07,5.836274726463338e-07,5.384875928215226e-07,5.39463249451366e-07,5.284060350325092e-07,0.0,0.0,0.0,0.0,0.10000627180826953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.112582877230514e-07,0.0,5.869445232789734e-07,3.0597857883639243e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.308936951023442e-07,3.065868933266304e-07,0.0,0.0,0.0,5.998253736988426e-07,5.304300549768997e-07,0.0,0.0,5.434356834834967e-07,0.0,3.053594635094901e-07,5.213556467835826e-07,0.0,0.0,0.0,0.0,3.0580730030549933e-07,0.0,0.0,0.0,0.0,0.0,3.2461169905440536e-07,0.0,5.297907591393877e-07,2.967467058138108e-07,7.185518653364523e-07,5.311903201850525e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.076346049642443e-07,6.707762402864871e-07,0.10001896828772538,0.0,0.0,0.0,0.0,5.311412616479929e-07,0.10000626435728394,0.0,0.0,0.0,0.0,5.31187591552632e-07,0.0,0.0,0.0,0.10000626435728394,0.0,0.10000626435728394,0.0,0.0,0.0,0.09991067566307084,0.0,0.0,0.0,0.10000626435728394,0.0,0.1000061525925,0.0,2.8200444488785817e-07,5.309175706360232e-07,0.0,4.93714372978212e-07,0.0,6.874589852122078e-07,0.0,0.0,5.307240651202051e-07,0.0,0.0,0.0,0.0,0.0,3.381973324898779e-07,0.0,0.0,6.266726154698573e-07,0.0,0.10000626435728394,0.0,5.913362571597158e-07,0.0,0.0,0.0,0.0,0.0,6.775986171887784e-07,0.0,0.0,0.0,6.231070319009201e-07,0.0,5.728872343603212e-07,5.549652355436382e-07,0.0,6.684690110354555e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.10001506756747794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999992635713655,0.0,2.2776736898548286e-06,0.0,3.2312877766024674e-06,3.3811708215365283e-06,3.860086447287772e-06,0.0,0.0,0.0,0.0,2.7645427104288325e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0262212885370497e-06,0.0,0.0,0.10001332316413344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.129137782149575e-06,0.0,0.0,0.0,0.0,5.081691492087463e-06,0.0,0.0,0.0,0.0,3.1526963602613247e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00443783332265e-06,0.0,4.995579158142041e-06,0.09999588658540375,0.0,1.3382944963410268e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.929989130837681e-06,0.0,0.10001456064684791,0.0,0.0,0.0,0.0,0.10002329757300063,0.1000222688223103,0.0,0.0,0.0,0.0,1.7959740346658408e-06,0.0,0.0,0.0,0.10000571935468312,0.0,4.215010331251085e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09996764812442549,0.0,5.793686403616413e-06,0.0,0.0,0.0,0.0,4.429899411369653e-06,0.0,0.0,0.0,0.0,2.9983868507086586e-06,0.0,0.0,0.0,0.0,0.0,3.2608741323433136e-06,0.0,0.0,0.0,0.0,0.0998744940039439,0.0,8.039462566734845e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.1000275761560075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10002730040992752,0.0,1.7966613502584715e-06,1.4721893247794462e-06,1.4341282708667752e-06,2.5154458624318392e-06,2.2291058506490553e-06,0.0,0.0,0.0,0.0,1.8260466608888237e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4489658700695578e-06,0.0,1.7861771559535198e-06,4.583059015446044e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1661451906296302e-06,0.1000274047462821,0.0,0.0,0.0,2.544069037694419e-06,0.1000274047462821,0.0,0.0,1.546488425729115e-06,0.0,0.09968995861774269,1.0351280034703012e-06,0.0,0.0,0.0,0.0,3.6920867220401954e-07,0.0,0.0,0.0,0.0,0.0,1.444127459599726e-06,0.0,2.4050408542985525e-06,1.9576844510563755e-06,2.7536435274604465e-06,1.9811705473718116e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2245328110072165e-06,9.928681545435651e-07,0.10002745691445941,0.0,0.0,0.0,0.0,1.3687071030955605e-06,1.3762827422973314e-06,0.0,0.0,0.0,0.0,0.10002636883533295,0.0,0.0,0.0,0.10002717371578265,0.0,2.159910736824384e-06,0.0,0.0,0.0,4.745733182105585e-07,0.0,0.0,0.0,0.10002718116837941,0.0,3.845886992496148e-06,0.0,8.529654365914969e-09,4.818078898949029e-07,0.0,2.2322467308128686e-06,0.0,1.93739427422406e-06,0.0,0.0,0.10002730786252427,0.0,0.0,0.0,0.0,0.0,2.164762157155615e-06,0.0,0.0,6.392336480750636e-07,0.0,2.1800767340354506e-06,0.0,1.0211207241416314e-06,0.0,0.0,0.0,0.0,0.0,1.562629615856987e-06,0.0,0.0,0.0,1.9358779637206465e-06,0.0,5.044119924901896e-07,1.5723015253317386e-06,0.0,2.013940093833992e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,0.10000061193477613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000062683597832,0.0,3.346358894309927e-08,6.309047814029836e-08,3.525381339737843e-08,4.821097597814352e-08,0.10000064918778162,0.0,0.0,0.0,0.0,6.778168603697416e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4267862450011873e-07,0.0,5.6405940142160646e-08,5.323774571056432e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4887153307386915e-07,2.8683257425838425e-08,0.0,0.0,0.0,5.4634502489510034e-08,2.865349981418171e-08,0.0,0.0,4.2952000240722376e-08,0.0,0.09999217785433262,4.242648494002399e-08,0.0,0.0,0.0,0.0,2.9042871199371858e-08,0.0,0.0,0.0,0.0,0.0,4.591736258484196e-08,0.0,3.1350453901297373e-08,0.10000060448417503,1.120476042038486e-07,0.10000065663838272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.701252133140677e-08,4.307801534166121e-08,2.8891470112987338e-08,0.0,0.0,0.0,0.0,4.801933852227259e-08,3.151207084397593e-08,0.0,0.0,0.0,0.0,2.9887829629501186e-08,0.0,0.0,0.0,0.10000062683597832,0.0,3.3025200632404384e-08,0.0,0.0,0.0,2.9763123707155415e-08,0.0,0.0,0.0,0.10000067899018601,0.0,1.3252268133441836e-07,0.0,2.1749879571485375e-08,3.82127666283857e-08,0.0,3.53635143922132e-08,0.0,7.295574457838064e-08,0.0,0.0,0.10000061938537723,0.0,0.0,0.0,0.0,0.0,3.289242825145467e-08,0.0,0.0,2.957398559223488e-08,0.0,6.148078888109413e-08,0.0,4.225068907803765e-08,0.0,0.0,0.0,0.0,0.0,9.288285674874165e-08,0.0,0.0,0.0,3.611628320141606e-08,0.0,0.10000064173718053,6.105357388566433e-08,0.0,6.316866647808978e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.1000260557392502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10002902978558749,0.0,3.858260195322018e-06,4.3264861860834764e-06,3.927672334352489e-06,2.1040084348549934e-06,7.886890264418356e-06,0.0,0.0,0.0,0.0,6.07021152610608e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23090201274496e-06,0.0,9.428631893831876e-06,3.490946672693888e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.935525190212549e-06,0.10002836640181802,0.0,0.0,0.0,0.10002664458551748,4.5637828572473355e-06,0.0,0.0,4.4307003871399345e-06,0.0,2.1506878924922688e-07,3.3885281230115386e-06,0.0,0.0,0.0,0.0,2.7672993963984656e-06,0.0,0.0,0.0,0.0,0.0,2.331948110924608e-06,0.0,9.071979226657299e-06,0.1000281651505621,4.4471000934317695e-06,0.09952392640201403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2192897080135846e-05,4.491270296601827e-06,9.746629150326119e-06,0.0,0.0,0.0,0.0,3.4161628200582007e-06,6.7231803356284855e-06,0.0,0.0,0.0,0.0,0.10002876890432982,0.0,0.0,0.0,0.10002735269178827,0.0,6.148083289484551e-06,0.0,0.0,0.0,3.099201236316214e-06,0.0,0.0,0.0,0.10002989442061286,0.0,3.4145753041043236e-06,0.0,0.0,1.2780035254515803e-05,0.0,1.1112613496902185e-05,0.0,6.5963387435423724e-06,0.0,0.0,0.10002823223431408,0.0,0.0,0.0,0.0,0.0,7.979829212458368e-06,0.0,0.0,3.5688279898293522e-06,0.0,3.8110425711412008e-06,0.0,4.437142348998911e-06,0.0,0.0,0.0,0.0,0.0,2.0002198309255885e-06,0.0,0.0,0.0,4.24542892715864e-06,0.0,1.070610295656031e-05,4.104835839231335e-06,0.0,4.513325827034255e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.09998435290938273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09998509045847659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09998632715695718,0.0,0.0,0.0,0.0,0.09998468070898,4.103346646256894e-06,0.0,0.0,0.0,0.0,0.09998520220833929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09998554490791825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.095671042549702e-06,0.09998535865814707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09998541825807385,0.0,0.0,0.0,0.0,0.0,3.0180206664542485e-06,0.0,0.0,0.0,0.09998536610813792,0.0,0.0,0.0,0.0,9.249739102131963e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10012234908984084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.10644962270555634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09992384130391897,0.0,0.0,0.0,0.0,0.0,0.10644172053964258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09992468291065626,2.5507467571946406e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09992279860530642,0.0,0.0,0.09992460843218394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.486900036058259e-06,0.0,0.0,0.0,0.0,0.0,0.09991889593335655,0.0,0.0,0.0,0.0,0.0,0.09992414666565551,0.0,0.0,0.0,1.3991758829082972e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08764129851879618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09992294756225108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.10429845600504212,0.0,0.0,6.419629905520431e-06,0.0,0.0,0.0,0.0,0.10008459065730148,0.0,1.57000725411697e-05,9.05090540577951e-06,1.0115072125788015e-05,1.0082655786308684e-05,0.10429065632045915,0.0,0.0,0.0,0.0,6.5054745402407795e-06,0.0,6.363964242957363e-06,0.0,0.0,0.0,0.0,0.0,3.7410251660583346e-06,0.0,1.0184263028806068e-05,0.10008380024949479,0.0,0.0,0.0,1.387203011430574e-06,0.0,0.0,0.0,0.0,0.0,5.535025566690651e-06,1.1647979132872437e-05,0.0,0.0,0.0,0.10008620129962455,8.784608631313589e-06,0.0,0.0,4.975428072814804e-07,0.0,6.487138686971702e-06,1.1601289336526922e-05,0.0,0.0,0.0,0.0,1.2148022537200316e-05,0.0,0.0,0.0,0.0,0.0,3.33685927764099e-06,0.0,1.0975197863841452e-05,1.3970900723420803e-05,1.268451828048107e-05,0.09844132537052105,1.182722520601845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09884474340099e-06,4.855261854727424e-06,1.1343414092762228e-05,0.0,0.0,0.0,0.0,9.890745558747825e-06,1.2023660231365278e-05,0.0,0.0,0.0,0.0,0.10008658904685046,0.0,0.0,0.0,1.217709465880283e-05,0.0,0.10008554511201144,0.0,0.0,0.0,9.574348322616729e-06,0.0,0.0,0.0,1.114387788333638e-05,0.0,0.09206480732687736,0.0,2.666788927742185e-06,9.984253495129828e-06,0.0,1.129973900779614e-05,0.0,0.100085254301592,0.0,0.0,1.069816937223681e-05,0.0,0.0,0.0,0.0,0.0,1.1394396575963232e-05,0.0,0.0,8.30657662510688e-06,0.0,9.697613790525374e-06,0.0,1.090207108763359e-05,0.0,0.0,0.0,0.0,0.0,6.895845529916256e-06,0.0,0.0,0.0,8.42130496196853e-06,0.0,9.508766517007925e-06,8.401515457107378e-06,6.561387332676888e-06,1.0882060394709277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-10,0.10670302616711641,0.0,0.0,5.527174308811983e-06,0.0,0.0,0.0,0.0,0.10002219546273614,0.0,8.27514202739957e-06,5.020581870852404e-06,6.338384294049917e-06,6.467936983171937e-06,0.10669504473570837,0.0,0.0,0.0,0.0,3.9709586949168675e-06,0.0,3.9727799276376956e-06,0.0,0.0,0.0,0.0,0.0,2.9600126070726137e-06,0.0,6.316758292623394e-06,6.226896559658274e-06,0.0,0.0,0.0,3.0760466004664254e-06,0.0,0.0,0.0,0.0,0.0,3.3863091049580274e-06,6.3266495330697325e-06,0.0,0.0,0.0,0.10002240412760954,1.1584200890160223e-05,0.0,0.0,1.504835495804052e-06,0.0,3.816532351614399e-06,2.6089208759735942e-06,0.0,0.0,0.0,0.0,6.8054558909968495e-06,0.0,0.0,0.0,0.0,0.0,7.260704030564857e-06,0.0,6.262594358458491e-06,0.10002266495870131,6.777074407959501e-06,0.08618185683436619,1.040871161131703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.975182960296484e-06,2.872200443198415e-06,7.005126039870772e-06,0.0,0.0,0.0,0.0,1.2672066314406545e-05,1.199677196148036e-05,0.0,0.0,0.0,0.0,1.61037761493338e-06,0.0,0.0,0.0,0.10002242648456026,0.0,0.10002237431834192,0.0,0.0,0.0,1.236083110607541e-05,0.0,0.0,0.0,0.100022366866025,0.0,6.48315955946264e-06,0.0,1.7314103326762743e-06,3.853702965487055e-06,0.0,1.1487853858460444e-05,0.0,2.8361769694161514e-06,0.0,0.0,0.10002250846004625,0.0,0.0,0.0,0.0,0.0,1.132850600216113e-05,0.0,0.0,5.77103709721894e-06,0.0,5.605690635244729e-06,0.0,5.601659725061917e-06,0.0,0.0,0.0,0.0,0.0,2.2045294320307438e-06,0.0,0.0,0.0,4.565411056349967e-06,0.0,9.643308994922555e-06,4.498442546180057e-06,3.926474039547976e-06,5.207004416580939e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
