,600000.SH,600005.SH,600009.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600068.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600123.SH,600150.SH,600177.SH,600183.SH,600188.SH,600196.SH,600256.SH,600276.SH,600309.SH,600320.SH,600332.SH,600340.SH,600346.SH,600348.SH,600362.SH,600372.SH,600383.SH,600406.SH,600436.SH,600438.SH,600485.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600550.SH,600570.SH,600583.SH,600585.SH,600588.SH,600598.SH,600606.SH,600637.SH,600642.SH,600690.SH,600703.SH,600739.SH,600745.SH,600760.SH,600795.SH,600809.SH,600832.SH,600837.SH,600887.SH,600893.SH,600900.SH,600905.SH,600918.SH,600919.SH,600930.SH,600941.SH,600958.SH,600999.SH,601006.SH,601012.SH,601066.SH,601088.SH,601111.SH,601117.SH,601118.SH,601127.SH,601138.SH,601166.SH,601168.SH,601169.SH,601186.SH,601198.SH,601211.SH,601225.SH,601229.SH,601236.SH,601288.SH,601299.SH,601318.SH,601319.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601600.SH,601601.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601699.SH,601727.SH,601728.SH,601766.SH,601788.SH,601800.SH,601816.SH,601818.SH,601857.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601995.SH,601998.SH,603019.SH,603160.SH,603259.SH,603260.SH,603288.SH,603501.SH,603799.SH,603986.SH,603993.SH,688008.SH,688012.SH,688041.SH,688111.SH,688256.SH,688599.SH,688981.SH
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10017162448584548,0.0,2.7242342305291766e-06,4.3851118977231215e-07,3.9440376652883087e-07,3.562872437607649e-07,0.1001714677559219,0.0,0.0,0.0,0.0,4.719646347156467e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.323450029449039e-06,0.0,4.346453897494371e-06,4.296763582266408e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.731267512139385e-07,0.0,0.0,0.0,2.2252562735056162e-07,0.10017162448584548,0.0,0.0,1.8805246011849871e-06,0.0,1.3294998955528496e-06,1.1822936434787704e-06,0.0,0.0,0.0,0.0,2.7197118303651387e-07,0.0,0.0,0.0,0.0,0.0,2.2683383088620372e-07,0.0,0.10017131848932802,4.1277348689346666e-07,4.230524936891343e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6306577906178954e-07,2.1446547954224285e-06,4.316529516740587e-06,0.0,0.0,0.0,0.0,0.1001717289724612,4.775558001819138e-06,0.0,0.0,0.0,0.0,0.10017162448584548,0.0,0.0,0.0,0.10017168419248303,0.0,3.9992145573291095e-06,0.0,0.0,0.0,8.684637274119143e-06,0.0,0.0,0.0,0.1001716095591861,0.0,8.720383270686623e-06,0.0,0.09837209628330389,0.0,0.0,0.10017163941250487,0.0,4.416490031150413e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.511010087865861e-06,0.0,0.0,2.5152304219433857e-07,0.0,8.538800331680116e-07,0.0,4.641594786907482e-06,0.0,0.0,0.0,0.0,0.0,3.959454071523435e-07,0.0,0.0,0.0,3.380992780682469e-07,0.0,2.976179516386137e-07,2.8536075705629905e-07,0.0,2.2357568479015798e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,0.10000591098293438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000492718745443,0.0,4.1689432488524e-06,0.0,0.0,0.0,0.017908731566346894,0.0,0.0,0.0,0.0,0.1000112622341056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.611120368704012e-06,0.0,8.527438195325138e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9521545604604353e-06,0.0,0.0,0.0,0.0,0.0,0.0018295720700870675,0.0,0.0,1.0882519445500666e-06,0.0,0.0,3.053559446376083e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01866603422252201,0.0,0.0,1.9521545604604353e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.968503872142529e-06,0.04972985908333125,0.0,0.0,0.0,0.0,0.09997754487992924,4.967817177687389e-06,0.0,0.0,0.0,0.0,0.10000594079491862,0.0,0.0,0.0,0.10000660411156798,0.0,4.177797775726901e-06,0.0,0.0,0.0,0.10000090256958193,0.0,0.0,0.0,0.10000509115336775,0.0,0.10000323535734876,0.0,0.011778469024672658,1.9521545604604353e-06,0.0,5.032564626065611e-06,0.0,4.532271802944659e-06,0.0,0.0,1.9521545604604353e-06,0.0,0.0,0.0,0.0,0.0,6.846880154837212e-06,0.0,0.0,0.0,0.0,3.5612297530239123e-06,0.0,4.055664896074844e-06,0.0,0.0,0.0,0.0,0.0,3.6222172686057727e-06,0.0,0.0,0.0,0.0,0.0,5.566577434474318e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.09999705444472393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10002254544235029,0.0,0.0,0.0,0.0,0.0,0.099998112842871,0.0,0.0,0.0,0.0,0.09994564759951077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.659499391926983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.143667562280219e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24926251534541e-06,1.6737745408681668e-06,0.0,6.296243358784864e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3078693211133723e-06,0.0,0.0,0.0,0.0,0.0,0.09999700227016739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000250295912887,0.0,0.0,0.0,0.0,0.0,0.0999996631725512,0.0,0.0,0.0,0.1000108136206357,0.0,0.09999704699121585,0.0,0.09999383452923429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.881769478538964e-06,0.0,0.0,0.0,0.0,0.0,5.276432719991465e-06,0.0,0.0,0.0,0.0,2.230054223657211e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7241735211176894e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.10017995233097718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001788104361035,0.0,7.97122899011885e-07,8.807740625690171e-07,6.828061827684612e-07,9.540952253720199e-07,0.10017889999648574,0.0,0.0,0.0,0.0,0.009161576503432278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7788464463947035e-06,0.0,9.198866924253134e-07,1.7897886763243653e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1991482093177326e-06,4.2694885711588e-06,0.0,0.0,0.0,7.039126013838787e-07,1.2385948320546094e-05,0.0,0.0,4.712989845763881e-06,0.0,3.3841193163748787e-06,6.988340943213262e-07,0.0,0.0,0.0,0.0,1.3740522681462764e-06,0.0,0.0,0.0,0.0,0.0,7.407511802186683e-07,0.0,0.1001788104361035,1.4710842150809266e-06,2.0960989132207244e-06,1.0242589551381506e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1806443341079034e-06,0.08910499755904329,3.249094995982688e-06,0.0,0.0,0.0,0.0,0.10018221373062898,7.835797769644038e-07,0.0,0.0,0.0,0.0,0.10017891492321612,0.0,0.0,0.0,0.10017908658061543,0.0,7.161639039275184e-07,0.0,0.0,0.0,5.310325088913004e-06,0.0,0.0,0.0,0.10017898209350282,0.0,1.0886379960862456e-06,0.0,9.662685529683965e-06,7.688340049525976e-07,0.0,3.5994310701981405e-06,0.0,2.395173730970887e-05,0.0,0.0,0.10017888506975538,0.0,0.0,0.0,0.0,0.0,4.460359671656592e-06,0.0,0.0,6.869258610469e-07,0.0,2.2034305683200894e-06,0.0,7.088211396881571e-07,0.0,0.0,0.0,0.0,0.0,1.244510678674256e-05,0.0,0.0,0.0,1.69437305541061e-06,0.0,2.6802318259532775e-06,7.093051947682539e-07,0.0,1.1066453461462753e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,0.09999450523084717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999378983405087,0.0,0.0,0.0,0.0,0.0,0.09999392397095018,0.0,0.0,0.0,0.0,7.428280632951919e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.410366487375184e-06,0.0,0.0,0.0,0.0,8.967658835146106e-06,0.0,0.0,0.0,0.0,0.0,2.9425509062517213e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2048058463976845e-06,0.09998983279552132,0.0,0.09999465427184641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2620104727180537e-06,0.0,0.0,0.0,0.0,3.7201869200030705e-06,0.0,0.0,0.0,0.0,0.0,0.09999513865509391,0.0,0.0,0.0,0.09999404320374956,0.0,0.0,0.0,0.0,0.0,1.2080971938013176e-07,0.0,0.0,0.0,0.09999463936774648,0.0,0.0,0.0,9.599608500210114e-06,0.0,0.0,1.6953982208705603e-06,0.0,9.045570599684995e-06,0.0,0.0,0.09998901307002556,0.0,0.0,0.0,0.0,0.0,7.31514446916874e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.347731715813407e-06,0.0,0.0,0.0,0.0,0.0,0.09999539947684256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.09999523657509576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999302335878807,0.0,0.0,0.0,0.0,0.0,0.09999340340603283,0.0,0.0,0.0,0.0,0.09999519931556197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4945873766269973e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.140503550174666e-06,0.0,0.0,0.0,0.0,4.3082864178833275e-06,0.0,0.0,0.0,0.0,7.374714211608427e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999944690286995,3.214679303389904e-06,0.0,0.09999471494162257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2307640380848702e-06,2.5162727204910132e-06,0.0,0.0,0.0,0.0,3.4826197881331728e-06,0.0,0.0,0.0,0.0,0.0,0.09999288922446639,0.0,0.0,0.0,0.09999290412827991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999275509014471,0.0,0.0,0.0,1.1114453437141207e-05,0.0,0.0,0.0,0.0,1.686586090869183e-05,0.0,0.0,0.09999018418231255,0.0,0.0,0.0,0.0,0.0,6.085123177365591e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.392884066125909e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.1003576823185894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001535201668614,0.0,1.1318168620726882e-06,3.882694109230342e-06,8.73700405519005e-07,3.728752304213913e-06,0.10013717496006358,0.0,0.0,0.0,0.0,0.10014184501914868,0.0,7.304707507874483e-06,0.0,0.0,0.0,0.0,0.0,6.699989372335911e-06,0.0,3.6574329815767494e-06,2.734994700398301e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.991767915269139e-06,2.6889758962541224e-06,0.0,0.0,0.0,3.346030111084388e-06,1.1145596682273942e-05,0.0,0.0,8.802573560093032e-07,0.0,0.010218460421056673,6.116246557321011e-06,0.0,0.0,0.0,0.0,5.861117248954288e-06,0.0,0.0,0.0,0.0,0.0,3.4050267857961374e-06,0.0,0.1001358619722058,0.08813789083009915,1.292868219788649e-06,0.10013418343659214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5615594294740454e-06,5.94697463700499e-06,1.812756537601526e-06,0.0,0.0,0.0,0.0,9.452610654604835e-06,1.2142321911920168e-05,0.0,0.0,0.0,0.0,0.10013624244027822,0.0,0.0,0.0,0.10013997997957795,0.0,6.9107925729950195e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10013425803817497,0.0,7.2903704715064705e-06,0.0,1.1878998905537044e-05,7.321390186661583e-07,0.0,7.416365824205335e-06,0.0,1.1089222947124487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16790446598581e-06,0.0,0.0,7.312704160999713e-07,0.0,3.649033928861522e-06,0.0,6.449155210031354e-07,0.0,0.0,0.0,0.0,0.0,5.3827446163660175e-06,0.0,0.0,0.0,6.512798091720561e-07,0.0,7.378944369830351e-06,6.394782886364594e-07,0.0,6.787580095197612e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.10112063504182152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09974989802986252,0.0,0.0,0.0,0.0,0.0,0.10089768406521146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.430717122493197e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09970057825571622,0.0,0.0,0.09975317212470627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6303161652609244e-06,0.0,0.0,0.0,0.0,0.0,0.09975844788207949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09975689268702871,0.0,0.09975816511934299,0.0,0.0,0.0,0.0,0.09975550119672012,0.0,0.0,0.09974496456422297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.09997163540195982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09996641830895699,0.0,0.0,0.0,0.0,0.0,0.09999458315818227,0.0,0.0,0.0,0.0,3.637503781258508e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7901889114483213e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550347812868885e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4806873491553e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999661037146336,7.7908164274154e-06,0.0,0.10000009837078526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6084286837632307e-06,0.0,0.0,0.0,0.0,0.0,0.10000574773720833,0.0,0.0,0.0,0.09999116968876041,0.0,3.600469917598279e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646808013174729e-05,0.0,0.09999823512328425,0.0,6.134785612047313e-06,0.0,0.0,1.7901716254607633e-05,0.0,0.09998979833859967,0.0,0.0,0.09999012627015985,0.0,0.0,0.0,0.0,0.0,1.618863485688132e-05,0.0,0.0,0.0,0.0,1.2414468740329245e-06,0.0,3.1284674980512685e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-10,0.10147076449190474,0.0,0.0,7.106257199134378e-06,0.0,0.0,0.0,0.0,0.10004690001800777,0.0,1.0704262610962679e-06,8.200939862549597e-07,1.1329838681927897e-06,8.439427184245642e-07,0.1014940566795421,0.0,0.0,0.0,0.0,0.09292532669150963,0.0,8.973317561921138e-07,0.0,0.0,0.0,0.0,0.0,9.880863306332667e-07,0.0,2.1029911166805588e-06,2.454565989954467e-06,0.0,0.0,0.0,2.0816251747637858e-05,0.0,0.0,0.0,0.0,0.0,1.0266641301390313e-06,8.374157879737804e-07,0.0,0.0,0.0,2.7292302416200243e-06,5.921015579260117e-06,0.0,0.0,7.937464618266614e-07,0.0,1.4314325369297633e-06,1.1912605122284819e-06,0.0,0.0,0.0,0.0,1.0117675933385352e-05,0.0,0.0,0.0,0.0,0.0,1.8822756886592657e-06,0.0,0.10004575217900101,8.000415167298131e-06,1.2746033260439551e-06,0.10004410495549129,0.003627721655784431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3095709501973136e-06,8.04438008131473e-07,3.2189753273023933e-06,0.0,0.0,0.0,0.0,6.908130757597312e-06,3.706332508826393e-06,0.0,0.0,0.0,0.0,8.396496088518222e-06,0.0,0.0,0.0,0.10004441054899309,0.0,7.093218123312853e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10004472359599494,0.0,0.10004516335249754,0.0,9.622023639568781e-06,8.390375406574471e-07,0.0,1.2559087523893958e-05,0.0,9.269215235693726e-06,0.0,0.0,0.10004590124900188,0.0,0.0,0.0,0.0,0.0,1.3351394032655793e-05,0.0,0.0,8.994895817587332e-07,0.0,1.357033786689375e-06,0.0,1.117208870174955e-06,0.0,0.0,0.0,0.0,0.0,1.747001873431277e-06,0.0,0.0,0.0,8.65750654622661e-07,0.0,5.846753534144436e-06,8.367497769835246e-07,9.063680559203915e-07,1.081640061920761e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
