,600000.SH,600005.SH,600009.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600068.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600123.SH,600150.SH,600177.SH,600183.SH,600188.SH,600196.SH,600256.SH,600276.SH,600309.SH,600320.SH,600332.SH,600340.SH,600346.SH,600348.SH,600362.SH,600372.SH,600383.SH,600406.SH,600436.SH,600438.SH,600485.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600550.SH,600570.SH,600583.SH,600585.SH,600588.SH,600598.SH,600606.SH,600637.SH,600642.SH,600690.SH,600703.SH,600739.SH,600745.SH,600760.SH,600795.SH,600809.SH,600832.SH,600837.SH,600887.SH,600893.SH,600900.SH,600905.SH,600918.SH,600919.SH,600930.SH,600941.SH,600958.SH,600999.SH,601006.SH,601012.SH,601066.SH,601088.SH,601111.SH,601117.SH,601118.SH,601127.SH,601138.SH,601166.SH,601168.SH,601169.SH,601186.SH,601198.SH,601211.SH,601225.SH,601229.SH,601236.SH,601288.SH,601299.SH,601318.SH,601319.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601600.SH,601601.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601699.SH,601727.SH,601728.SH,601766.SH,601788.SH,601800.SH,601816.SH,601818.SH,601857.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601995.SH,601998.SH,603019.SH,603160.SH,603259.SH,603260.SH,603288.SH,603501.SH,603799.SH,603986.SH,603993.SH,688008.SH,688012.SH,688041.SH,688111.SH,688256.SH,688599.SH,688981.SH
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0173158246427047e-10,0.0,6.017166444361208e-12,1.8137933901609228e-09,0.0,0.10000182581248013,2.1410924080705047e-10,0.0,0.0,0.0,0.0,1.1784548686053351e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.595255650616525e-10,0.0,2.8939665954594816e-05,6.433895731291422e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8533518081719735e-09,0.0,0.0,0.0,0.10000183326319775,1.6187042710386157e-10,0.0,0.0,0.06770262215440187,0.0,1.1734512687493484e-09,0.0019253705605024804,0.0,0.0,0.0,0.0,0.10000184071391538,0.0,0.0,0.0,0.0,0.0,0.03031217736143224,0.0,1.0707611749221184e-10,0.10000184071391538,0.10000184071391538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.960630238255882e-07,2.389024341085683e-10,2.4851314079514784e-07,0.0,0.0,0.0,0.0,1.9260422265075011e-07,3.078611774542558e-07,0.0,0.0,0.0,0.0,2.180249306539993e-10,0.0,0.0,0.0,1.873004209612286e-07,0.0,3.0879678049280285e-07,0.0,0.0,0.0,3.053014869905509e-10,0.0,0.0,0.0,1.9155117894887977e-07,0.0,2.3068143024341688e-07,0.0,1.9813540219762551e-07,0.0,0.0,7.657634921720054e-11,0.0,1.299040203001582e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6586698430767081e-09,0.0,0.0,2.0162862509585418e-09,0.0,8.59769914047423e-10,0.0,0.10000183326319775,0.0,0.0,0.0,0.0,0.0,1.163129335449449e-09,0.0,0.0,0.0,1.129714116463353e-09,0.0,0.10000184071391538,0.10000183326319775,0.0,0.10000184071391538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.612981560058081e-10,0.0,0.00040782140473173093,1.3218810049918688e-10,0.0,0.10000003026120809,0.0,0.0,0.0,0.0,0.0,9.624566986515965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021602852553447405,0.0,0.0,0.0,0.0003256842382571826,0.0,0.0005936430170609485,0.09999988870019931,0.0,0.0,0.0,0.0,0.09999986634846107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086831625444143e-05,1.6596664038499692e-05,0.09999991105193753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6940883572927714e-07,0.0,0.0727018821637078,0.0,0.0,0.0,0.0,1.7758362615488883e-08,0.10000008986584337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.221873457449261e-06,0.0,1.768762640632222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.304354176686741e-07,0.0,1.0590138988241885e-07,0.0,0.0,0.10000002281062868,0.0,0.09999989615077871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6607971506312935e-09,0.0,0.0,1.6163759975374462e-09,0.0,0.0,0.0,0.09999985144730225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999966518281701,0.0,0.004308264481810444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,3.1612985352562893e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04321697944738414,0.0,0.0014857758175342974,0.0,7.769983899433785e-07,0.10000205864657179,2.5061279092047016e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.398155484008883e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002994417078647552,1.0068165941480344e-06,0.0,0.0,0.0,0.0,0.10000228962123187,0.0028720283328740838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0350714303937885e-06,0.0,0.0,0.0,0.0,0.10000210335134471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.969548964458338e-07,0.0,0.10000226726884541,0.0,0.0,0.0,0.0,0.0,0.10000241628475513,0.0,0.0,0.0,0.0,2.8501448299232965e-05,0.0,0.0,0.0,0.00028048228561008585,0.0,0.007329500726732918,0.0,0.0,0.0,2.956832317548417e-06,0.0,0.0,0.0,0.0001447329101627565,0.0,4.865135478212422e-07,0.0,2.8449128107540797e-06,0.0,0.0,0.10000222256407248,0.0,0.0932542159113351,0.0,0.0,8.984333047426435e-08,0.0,0.0,0.0,0.0,0.0,0.10000241628475513,0.0,0.0,1.0159547783458465e-06,0.0,0.05105549197827364,0.0,0.10000208099895826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7842065062723123e-05,0.0,0.0,0.0,4.2562177782201616e-07,0.09999999403953552,1.5261939267929847e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009041125886142254,0.0,0.0,7.408904139083461e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21767674399598e-07,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018440934363752604,0.0,0.09999999403953552,0.0,0.0,0.0,0.0,0.0,0.09627293795347214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008963535074144602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.217846384970471e-05,0.0,2.476858469435683e-07,0.0,9.20030540640937e-09,0.0,0.0,0.09999999403953552,0.0,0.0,0.0,0.0,6.12020158996529e-08,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0,4.917317255603848e-07,0.0,0.09999999403953552,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,2.148934636395953e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014869299889265976,0.0,9.358691689967484e-10,7.580422460605745e-10,1.979452821049482e-07,0.10000214833433582,8.556755011447203e-09,0.0,0.0,0.0,0.0,8.716783737495834e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07663712294315905,0.0,7.37265868150753e-10,4.182948789618101e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.316430241882082e-10,0.058604170404450026,0.0,0.0,0.0,7.156730703953679e-10,0.10000214833433582,0.0,0.0,9.547896586712474e-10,0.0,1.8411848231074172e-10,9.039873828211654e-10,0.0,0.0,0.0,0.0,8.350509494589838e-10,0.0,0.0,0.0,0.0,0.0,2.9370521408508764e-07,0.0,1.3730557511589217e-09,2.0322024750068844e-10,1.4100583832917845e-09,0.10000214088359693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.636061126304403e-10,9.424293941731498e-10,0.10000213343285806,0.0,0.0,0.0,0.0,7.142323033679823e-10,0.04684532861436542,0.0,0.0,0.0,0.0,1.1134711004571577e-09,0.0,0.0,0.0,0.1000021632358136,0.0,6.799472218654129e-10,0.0,0.0,0.0,6.949236159658687e-10,0.0,0.0,0.0,0.01624353838391579,0.0,1.2068377111217672e-07,0.0,5.202059164594958e-09,9.459840707483063e-10,0.0,0.10000214833433582,0.0,1.2820084234602272e-09,0.0,0.0,2.5558747423723808e-08,0.0,0.0,0.0,0.0,0.0,0.10000217813729136,0.0,0.0,2.802011761926987e-07,0.0,0.10000214088359693,0.0,0.00016385929803979586,0.0,0.0,0.0,0.0,0.0,6.220036177626147e-10,0.0,0.0,0.0,4.784894161404459e-07,0.0,6.181018780967895e-10,6.402161586854666e-10,0.0,4.0740876882719075e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,7.596330808227969e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812476461039359,0.0,9.081814743869178e-09,7.81733272138694e-09,9.731813463913045e-08,0.1000005588207701,1.7199241677317966e-08,0.0,0.0,0.0,0.0,1.2338846270831988e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000032040215895,0.0,9.5068801172688e-09,1.9947414225335353e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0343395975242862e-08,0.10000038000681173,0.0,0.0,0.0,0.00019383524762818885,8.267912799678002e-09,0.0,0.0,9.338397089302707e-09,0.0,2.531960315265979e-09,8.67456445560593e-09,0.0,0.0,0.0,0.0,0.10000033530332214,0.0,0.0,0.0,0.0,0.0,1.4440427329317032e-07,0.0,1.225921395937737e-08,0.00041215817045507045,9.575529212909462e-09,0.10000038000681173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000033530332214,1.216831954404753e-08,0.1000005141172805,0.0,0.0,0.0,0.0,1.2424570598885989e-08,4.207798675397519e-09,0.0,0.0,0.0,0.0,9.518730195336876e-09,0.0,0.0,0.0,0.10000045451262772,0.0,8.802338708412963e-09,0.0,0.0,0.0,1.0118149456845746e-08,0.0,0.0,0.0,0.01801859084510237,0.0,7.196492902780259e-08,0.0,1.2528725519803924e-08,8.140153645906133e-09,0.0,0.10000039490797494,0.0,9.181975525896983e-09,0.0,0.0,1.8025585226484228e-08,0.0,0.0,0.0,0.0,0.0,1.9522566512521227e-05,0.0,0.0,1.448287942131255e-07,0.0,4.910029043694735e-09,0.0,1.3117761086012699e-08,0.0,0.0,0.0,0.0,0.0,9.878382107513613e-09,0.0,0.0,0.0,0.00010363972916205824,0.0,9.875903201211109e-09,6.735079177941216e-09,0.0,1.8009286484158659e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,1.884081627866367e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029509983183249595,0.0,2.3599805730054867e-07,2.6131284695369504e-05,4.8000314332986116e-08,0.0,4.022080387355719e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.09999980352213829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.184653624908343e-09,0.09999983332443721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6360761794377663e-05,0.09999975136811519,0.0,0.0,0.0,0.099999729016391,4.0243399114758614e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999959490604587,0.0,0.0,0.0,0.0,0.0,0.0011833300807487493,0.0,1.4794604990828339e-09,1.5514079282535927e-05,0.0,0.00010591251728666725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051812105052388584,0.09999982587386247,0.09999987057731084,0.0,0.0,0.0,0.0,3.962572924192411e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.508767553340588e-07,0.0,1.2741792022614896e-10,0.0,0.0,0.0,5.988349540559093e-09,0.0,0.0,0.0,7.839640908208718e-07,0.0,3.3399120254771105e-08,0.0,0.0347311334954939,0.09999977371983937,0.0,0.011807445450534398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999980352213829,0.0,0.0,0.0,5.584492442373237e-12,0.0,0.0,0.0,0.0,0.0,7.302334485258301e-06,0.0,0.0,0.0,0.0,0.0,3.364300186633376e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,1.1470822485945331e-08,0.0,0.0,0.06933523642518945,0.0,0.0,0.0,0.0,1.4794670507870207e-08,0.0,1.6743795692449314e-08,2.4500512952884178e-05,3.686352845084137e-08,7.880528705431523e-09,1.4784852575280755e-08,0.0,0.0,0.0,0.0,4.108644472344455e-09,0.0,0.10000022797844793,0.0,0.0,0.0,0.0,0.0,3.810867305213321e-09,0.0,0.10000022797844793,0.001665663108150134,0.0,0.0,0.0,9.48032591544107e-09,0.0,0.0,0.0,0.0,0.0,1.8393837198332325e-08,0.10000023542903486,0.0,0.0,0.0,0.006340819208118605,1.286674438381625e-08,0.0,0.0,0.006941593559481534,0.0,8.25453917924668e-09,7.041292644810066e-09,0.0,0.0,0.0,0.0,4.823294606387671e-06,0.0,0.0,0.0,0.0,0.0,0.014550342474529758,0.0,1.7363922391739607e-08,3.1171614450646845e-08,0.10000022797844793,0.00011701350491900506,6.2995777693151855e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100000220527861,0.10000028013255641,2.6911070680499946e-06,0.0,0.0,0.0,0.0,1.261290721678149e-08,1.0967481578065784e-08,0.0,0.0,0.0,0.0,8.586972209568316e-09,0.0,0.0,0.0,1.6339405938166488e-08,0.0,1.095066212904765e-08,0.0,0.0,0.0,1.401465734639223e-08,0.0,0.0,0.0,1.6445662365469404e-08,0.0,2.9299329199127605e-08,0.0,0.10000030993490411,0.10000019072551332,0.0,1.6114126396113514e-08,0.0,9.942845220304176e-09,0.0,0.0,1.1100057418831988e-08,0.0,0.0,0.0,0.0,0.0,8.241136555510944e-09,0.0,0.0,0.10000024287962178,0.0,1.3696485809067592e-08,0.0,9.482936274033471e-09,0.0,0.0,0.0,0.0,0.0,0.0010116857453752984,0.0,0.0,0.0,7.851863610769684e-09,0.0,3.0252402438410773e-06,7.789535637233884e-09,9.645093810369086e-09,7.843806937482285e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,4.1522288566492194e-07,0.0,0.0,0.0002241632395196593,0.0,0.0,0.0,0.0,2.1710518809013805e-06,0.0,0.0,0.0,0.0,1.4482038957262175e-06,3.3023243810916794e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.09999943878907575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999930467895998,1.1698735189665837e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999942388795177,0.0,0.0,0.0,0.0006560477106820415,7.142395824813644e-07,0.0,0.0,0.016207965585122608,0.0,0.0,0.08169209668797225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5207334159193523e-06,0.0,0.0009908664203477407,0.0,0.09999937918457985,0.00010781465962683713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3294318013594302e-06,0.09999939408570382,0.0,0.0,0.0,0.0,0.0,4.3615342490278144e-05,0.0,0.0,0.0,0.0,0.0,7.043166858309373e-05,0.0,0.0,0.0,5.95375515692587e-07,0.0,0.0,0.0,0.0,0.0,0.09999914076659627,0.0,0.0,0.0,1.8125739332462338e-07,0.0,0.0,0.0,0.09999924507446409,5.958140615737068e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.6486716031744956e-07,0.0,0.0,0.0,0.0,0.0,1.6949988730255981e-07,0.0,0.0,0.09999942388795177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999910351378632,0.0,0.0,0.0,0.0,0.0,2.5659432622437713e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-10,0.007171419544665971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999929489185057,0.0,0.0,0.0,0.0,0.09999932469411336,0.0016512294111005802,0.0,0.0,0.0,0.0,0.0,0.0,0.09999951095825584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6953116734950325e-06,1.1786529818259933e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.045964336624709e-06,0.000587123087061299,0.0,0.0,0.004702301606437169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013316620172436824,0.0,0.0,0.0,0.0,0.0,1.7485218956835069e-06,0.0,6.072639233737268e-05,0.0,0.09999943645259884,0.09999939174920466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999943645259884,0.0,0.0,0.0,0.0,0.014031262019734151,0.0,0.0,0.0,0.0,0.0,0.0002316149791792154,0.0,0.0,0.0,0.06055102310473823,0.0,0.0,0.0,0.0,0.0,0.10877305125644536,0.0,0.0,0.0,2.2925668959901028e-05,0.0,1.9538740768808589e-07,0.0,0.09999935449637616,0.0,0.0,1.8618380014138821e-06,0.0,0.0,0.0,0.0,0.09999915333110229,0.0,0.0,0.0,0.0,0.0,0.002079424015581313,0.0,0.0,7.261689606415389e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3778406771046656e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
