,600000.SH,600005.SH,600009.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600068.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600123.SH,600150.SH,600177.SH,600183.SH,600188.SH,600196.SH,600256.SH,600276.SH,600309.SH,600320.SH,600332.SH,600340.SH,600346.SH,600348.SH,600362.SH,600372.SH,600383.SH,600406.SH,600436.SH,600438.SH,600485.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600550.SH,600570.SH,600583.SH,600585.SH,600588.SH,600598.SH,600606.SH,600637.SH,600642.SH,600690.SH,600703.SH,600739.SH,600745.SH,600760.SH,600795.SH,600809.SH,600832.SH,600837.SH,600887.SH,600893.SH,600900.SH,600905.SH,600918.SH,600919.SH,600930.SH,600941.SH,600958.SH,600999.SH,601006.SH,601012.SH,601066.SH,601088.SH,601111.SH,601117.SH,601118.SH,601127.SH,601138.SH,601166.SH,601168.SH,601169.SH,601186.SH,601198.SH,601211.SH,601225.SH,601229.SH,601236.SH,601288.SH,601299.SH,601318.SH,601319.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601600.SH,601601.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601699.SH,601727.SH,601728.SH,601766.SH,601788.SH,601800.SH,601816.SH,601818.SH,601857.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601995.SH,601998.SH,603019.SH,603160.SH,603259.SH,603260.SH,603288.SH,603501.SH,603799.SH,603986.SH,603993.SH,688008.SH,688012.SH,688041.SH,688111.SH,688256.SH,688599.SH,688981.SH
2018-01-02,0.0018643562162514958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9655140406449492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10009619515136454,0.09168435504963267,0.10009452516361943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1264764509788745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057902180408798444,0.0,0.0,0.0,0.0,0.0,0.000931748263344811,0.0,0.0,0.10007633422568145,0.015400842257401902,0.0,0.0,0.0,0.08322184125725963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001746627671696998,0.1000785186292945,0.0,0.02974887093486451,0.0,0.01620227329032124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004595232216297026,0.0,0.0,0.024777623085026717,0.0,0.0,0.0,0.0,0.008699748971112434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10009222147516744,0.0,0.0,0.05596122596907309,0.0,0.009923867694632448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09835714893979701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.530812897326067e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,6.752197068505207e-06,0.0,0.0,0.0,0.0,1.8714301939068624e-06,0.0,1.2058334692195178e-05,1.433935416013198e-06,4.127561940766662e-06,1.2479890098370492e-06,0.0,4.338353977412489e-06,4.281873842786989e-06,1.4085745737581956e-06,0.0,0.0,0.0,0.0,9.872820177376979e-05,0.0,0.0001026555930720112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10006199991005454,0.10006205955221761,0.10006202227586569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.568719763721439e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05776228308540671,6.172340935836042e-06,0.0,0.0,0.0,0.0,0.0009445264352422919,0.0,0.0,0.10006161969126504,0.10006213410492144,4.178573026641618e-06,0.0,0.0,0.020370422940542268,0.0,0.0,0.0,0.0,0.0,1.686205015975128e-06,0.0,7.472937971941593e-06,0.10007635130554113,0.0,0.10006268579492975,0.0,9.571580658478505e-05,0.0,1.1646262868641918e-06,0.0,1.5265331595081037e-06,0.0,1.796978735054854e-06,0.0,0.0013341763165237773,0.0,0.0,0.02402627878861733,2.3626338380881454e-06,0.0,8.690326200187015e-06,0.0,0.005282161576066931,0.0,0.0,1.0736424337641604e-06,1.2058472112340169e-05,2.6281068065339757e-06,0.0,0.0,0.0,6.151809820133855e-06,0.0,0.10006114255396055,0.0,2.717782096779828e-06,6.460358088598122e-06,1.2058334692195178e-05,0.010244142586919495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07903236705173865,1.8859616916894277e-06,2.0133941905975465e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.133844117460492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003573260145912463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052155288188767905,0.0,0.013510026243419711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000637068342194,0.1000063781345276,0.10000607263919564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7215578172845012e-05,0.0,0.0,0.0,0.0,0.0,8.130631212880781e-05,0.0,0.0,0.1000062738190484,0.10000636323231629,6.633314067476432e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1678880944335273e-05,0.0,0.004686010593274654,0.0,0.0008197772805795855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229962615310425e-05,0.0,0.0,0.0,0.0,0.0050389461835654474,0.0,0.0,0.0,0.10000636323231629,0.0,0.0,0.0,0.0,0.0,0.0,0.08685838807557111,0.0,0.0,0.0,0.08362140424478158,0.073394307212412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07609593655281552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-02,0.002704548364617487,0.0,0.0,0.0,0.0,2.4417580012308974e-06,0.0,2.7015146784884372e-05,1.9860036753775603e-06,4.030637728235395e-06,1.8744869114823887e-06,0.0,3.549608613471072e-06,1.9867938323808517e-06,2.2298262475714294e-06,0.0,0.0,0.0,0.0,0.0838845436956048,0.0,1.0453898156289176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07208780320959683,0.10002636986133799,0.0004707492422057194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7237357857947053e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.853564358634091e-05,5.813568096933107e-06,0.0,0.0,0.0,0.0,0.0010019477132435807,0.0,0.0,0.10002855360237206,0.10002146576031266,0.007778830732333303,0.0,0.0,2.7687720055971653e-05,0.0,0.0,0.0,0.0,0.0,5.893518611678936e-06,0.0,0.08728245219766373,0.00012121834160482181,0.0,0.0014996564391532687,0.0,0.059084594247030414,0.0,1.846316017469816e-06,0.0,1.880736293699556e-06,0.0,4.010074085556182e-06,0.0,1.0988321778005343e-05,0.0,0.0,0.00015943102936742128,1.9052245647874615e-06,0.0,1.6314614107342117e-05,0.0,0.010696718205298958,0.0,0.0,1.9407083914338367e-06,0.10002494633049325,5.2929792736862005e-06,0.0,0.0,0.0,2.343170562278762e-06,0.0,0.1000240296064414,0.0,4.028837243826053e-06,7.557727549458948e-06,0.05198985439812042,0.020890255522188702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10002845671283812,2.256991363153215e-06,4.5968218403446605e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3899190163704504e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02,0.0005121617191884441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09985844591048515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000861436497667,0.1000099331353287,6.248987233911735e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03152888962631929,0.0,0.0,0.022326912446628606,0.10000970216425009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917266620474801,0.0,0.0,0.0,0.0,0.07034334468908301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002919402720743454,0.0,0.0,0.0,0.0,0.08068822637113945,0.0,0.0,0.0,0.10000845790069762,0.0,0.0,0.0,0.0,0.0,0.0,0.1000102311625269,0.0,0.0,0.0,0.0,3.427159982118231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000849515409739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028185696404891315,0.0,0.0002075105189835681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03197787396296232,0.058354774389165684,0.04717976777789359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.510685301656695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046698093334550106,0.0,0.0,0.004635082675078683,0.10009848764427234,4.326131508377005e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028095330032507308,0.10006632905154175,0.0,0.10007145027388897,0.0,0.06949719377556023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04673816484943729,0.0,0.0,0.0,0.0,0.10008220707715977,0.0,0.0,0.0,0.10006726831502902,0.0,0.0,0.0,0.0,1.7858330888184417e-05,0.0,0.10009584130666935,0.0,0.0,4.989176638055423e-05,0.0019935313090804975,0.0048777159586271095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056289784976236455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-02,7.361432366701698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006004175412686831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06697385142733267,0.09667993661888981,0.01882507830419089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04568294739011172,0.0,0.0,0.0017065118287749293,0.10000661848731712,3.881596521539296e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000711025502383,0.0,0.09776902326462325,0.0,0.055417604635260236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051411728230151964,0.0,0.0,0.0,0.0,0.10000698358758423,0.0,0.0,0.0,0.1023733474391765,0.0,0.0,0.0,0.0,0.0,0.0,0.10000821300685099,0.0,0.0,3.6211680067150146e-05,1.4805671352746205e-05,9.023959247234668e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05691196002850054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.002391542293767375,0.0,0.0,0.0,0.0,1.4673112642392145e-06,0.0,1.1086988481944929e-06,1.974524568827314e-06,1.982203045254164e-06,5.935442489825817e-07,0.0,1.5119140483284063e-06,6.756035731710608e-07,6.307925019647183e-07,0.0,0.0,0.0,0.0,0.09155032288482591,0.0,0.00025575152581506307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9972530942208193e-06,1.5327449208161822e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06359364959879668,0.10004426306291664,0.09752455771354086,0.0,0.0,0.0,0.0,2.9972530942208193e-06,0.0,0.0,2.9814655789726166e-06,0.0,0.0,2.9972530942208193e-06,2.9972530942208193e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006095277778291e-06,0.0,0.0,0.0,0.0,0.0433780032576011,0.0,0.0,0.0016421225723600825,0.10004541083626879,8.99321355093397e-05,0.0,0.0,0.002952594543999623,0.0,0.0,0.0,0.0,0.0,1.7601735273667935e-06,0.0,2.9398750257717503e-06,5.723405181042572e-06,0.0,0.09457419140567357,0.0,0.10005113479688214,0.0,6.512916958408808e-07,0.0,7.960697794159492e-07,0.0,1.8843081001933739e-06,0.0,6.317907448411655e-06,2.9972530942208193e-06,0.0,0.048817017956672495,6.370764270543803e-07,0.0,6.1986341592922655e-06,0.0,0.10004304075882732,0.0,0.0,1.1680260473565535e-06,0.09720559597082062,1.0321754236995206e-06,0.0,0.0,0.0,2.949817309653692e-06,0.0,0.0010796981413842806,0.0,1.3289589206787804e-06,0.0003983508940743199,1.4348129469345652e-05,0.00023969245193054554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05403997177527403,8.520407299286246e-07,1.688565974521263e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4278044920088918e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-03,0.00033944369951880826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038929939592945204,0.0,0.08435331624659671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07469512046229272,0.09488245419194184,0.10000488250702587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04414872283720756,0.0,0.0,0.007081890311662418,0.1000047930963276,0.0,0.0,0.0,0.0010292048015832192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3272368979920605e-06,0.0,0.0,0.09586151623987647,0.0,8.113638137448567e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5265202781090995e-06,0.10000435349372773,0.0,0.0,0.0,0.0,0.0,0.0,0.100006208765717,0.0,0.0,0.0,0.10010824872512755,0.0,0.0,0.0,0.0,0.0,0.0,0.0005451991957812772,0.0,0.0,0.0,0.0,0.0029183542483192885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05500036144579814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08,0.08338327518796265,0.0,0.0,0.0,0.0,3.6462250402286473e-06,0.0,4.552109167079979e-06,3.9638799619743555e-06,3.978552698454846e-06,4.002952080355765e-06,0.0,3.5509648089658295e-06,3.851320918208031e-06,3.68430643965324e-06,0.0,0.0,0.0,0.0,8.749394966079311e-06,0.0,4.490113126326453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43458538663632e-06,6.324359171900136e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07468989252933242,0.0006132002670893904,0.04142520206282531,0.0,0.0,0.0,0.0,4.809335007556949e-06,0.0,0.0,0.07033994140039258,0.0,0.0,3.787561320400275e-06,3.912255250227756e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.823490287957704e-06,0.0,0.0,0.0,0.0,0.044148438669321256,0.0,0.0,0.10001559248007656,0.10001241836661341,2.366089539731918e-05,0.0,0.0,0.00791857392502765,0.0,0.0,0.0,0.0,0.0,3.553729590190511e-06,0.0,6.481284234085748e-05,4.013582356057211e-06,0.0,0.10001441522672638,0.0,0.06301183733430323,0.0,3.917343229887554e-06,0.0,3.8423710219169314e-06,0.0,3.655998072306683e-06,0.0,4.628558562709786e-05,8.47363174386363e-06,0.0,4.735387398994041e-06,3.907233667156297e-06,0.0,0.00013096326487326595,0.0,0.10001267915058339,0.0,0.0,3.959872973345246e-06,0.10009891668396985,3.6098533529537702e-06,0.0,0.0,0.0,0.0014360094919553515,0.0,0.0006174579146635278,0.0,3.5369012384447868e-06,3.4172279821464593e-06,4.837317531372379e-06,0.05681916432058667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05499831848540582,3.885880342438192e-06,3.54591525746846e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.079245398525862e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
